# Downloaded from http://www.nature.com/nature/journal/v425/n6959/suppinfo/nature02046.html
# Ghaemmaghami et al. Nature 2003
#ORF	Observed Expression	Protein Molecules/Cell	Standard Deviation	CEC	Spurious
orf	method	abund	sd.abund	cec	spurious
YCR044C	Both	3049	NA	0.27	0
YCR045C	None	NA	NA	0.45	0
YCR046C	Both	4154	NA	0.17	0
YCR047C	Both	1617	NA	0.19	0
YCR048W	Both	NA	NA	0.11	0
YCR049C	None	NA	NA	0.05	1
YCR050C	None	NA	NA	0.09	1
YCR051W	Both	784	NA	0.49	0
YCR052W	TAP	2475	7.36E+02	0.61	0
YCR053W	Both	26000	NA	0.8	0
YCR054C	Both	8966	NA	0.78	0
YCR057C	Both	16651	3.09E+03	0.8	0
YCR059C	Both	3027	NA	0.41	0
YCR060W	Both	1656	NA	0.19	0
YCR061W	GFP	NA	NA	0.18	0
YCR063W	Both	1898	NA	0.2	0
YCR064C	None	NA	NA	0.02	1
YCR065W	Both	358	NA	0.68	0
YCR066W	TAP	206	NA	0.73	0
YCR067C	Both	NA	NA	0.61	0
YCR068W	TAP	3060	NA	0.44	0
YCR069W	Both	NA	NA	0.55	0
YCR071C	Both	1708	NA	0.42	0
YCR072C	None	NA	NA	0.6	0
YCR073C	TAP	57	NA	0.83	0
YCR073W-A	Both	1155	NA	0.42	0
YCR075C	None	NA	NA	0.05	1
YCR076C	TAP	358	NA	0.39	0
YCR077C	Both	656	NA	0.74	0
YCR079W	Both	432	NA	0.29	0
YCR081W	Both	1733	NA	0.68	0
YCR082W	Both	981	NA	0.56	0
YCR083W	Both	1011	NA	0.4	0
YCR084C	Both	5841	NA	0.66	0
YCR085W	None	NA	NA	0.15	1
YCR086W	Both	1923	NA	0.32	0
YCR087C-A	Both	3433	NA	0.26	0
YCR087W	None	NA	NA	-0.19	1
YCR088W	Both	606	NA	0.79	0
YCR089W	None	NA	NA	0.24	0
YCR090C	Both	3971	NA	0.62	0
YCR091W	None	NA	NA	0.7	0
YCR092C	Both	736	NA	0.76	0
YCR093W	Both	4298	NA	0.8	0
YCR094W	Both	589	NA	0.7	0
YCR095C	Both	5370	NA	0.66	0
YCR096C	None	NA	NA	0.39	0
YCR097W	None	NA	NA	0.46	0
YCR097W-A	None	NA	NA	-0.23	1
YCR098C	None	NA	NA	0.58	0
YCR099C	None	NA	NA	0.59	0
YCR100C	None	NA	NA	0.57	0
YCR101C	None	NA	NA	0.4	0
YCR102C	None	NA	NA	0.65	0
YCR102W-A	None	NA	NA	0.2	1
YCR104W	None	NA	NA	0.49	0
YCR105W	TAP	2870	NA	0.59	0
YCR106W	None	NA	NA	0.66	0
YCR107W	None	NA	NA	0.66	0
YDL001W	Both	952	NA	0.72	0
YDL002C	Both	1759	NA	0.59	0
YDL003W	Both	1041	1.06E+02	0.8	0
YDL004W	None	NA	NA	0.62	0
YDL005C	Both	10785	NA	0.59	0
YDL006W	TAP	1525	NA	0.63	0
YDL007W	None	NA	NA	0.79	0
YDL008W	Both	377	NA	0.57	0
YDL009C	None	NA	NA	-0.03	1
YDL010W	Both	1643	NA	0.6	0
YDL011C	None	NA	NA	0.37	0
YDL012C	Both	2253	NA	0.16	0
YDL013W	None	NA	NA	0.59	0
YDL014W	None	NA	NA	0.52	0
YDL015C	Both	23597	NA	0.5	0
YDL016C	None	NA	NA	0	1
YDL017W	Both	1600	8.16E+02	0.74	0
YDL018C	Both	3193	NA	0.55	0
YDL019C	Both	1069	NA	0.89	0
YDL020C	Both	NA	NA	0.69	0
YDL021W	Both	2022	NA	0.77	0
YDL022W	Both	807	NA	0.7	0
YDL023C	None	NA	NA	0.23	1
YDL024C	None	NA	NA	0.62	0
YDL025C	Both	861	NA	0.6	0
YDL026W	None	NA	NA	0.17	1
YDL027C	Both	450	NA	0.48	0
YDL028C	Both	NA	NA	0.69	0
YDL029W	Both	6654	NA	0.78	0
YDL030W	Both	3918	4.29E+02	0.67	0
YDL031W	None	NA	NA	0.9	0
YDL032W	None	NA	NA	0.05	1
YDL033C	Both	1512	NA	0.48	0
YDL034W	None	NA	NA	-0.04	1
YDL035C	None	NA	NA	0.6	0
YDL036C	Both	639	NA	0.67	0
YDL037C	None	NA	NA	0.19	0
YDL038C	None	NA	NA	0.26	0
YDL039C	None	NA	NA	0.35	0
YDL040C	Both	7598	NA	0.86	0
YDL041W	None	NA	NA	0.3	0
YDL042C	Both	3346	NA	0.62	0
YDL043C	Both	3465	NA	0.7	0
YDL044C	Both	2059	NA	0.63	0
YDL045C	Both	NA	NA	0.63	0
YDL045W-A	Both	259	NA	0.28	0
YDL046W	Both	2836	NA	0.6	0
YDL047W	Both	3971	NA	0.46	0
YDL048C	Both	623	NA	0.35	0
YDL049C	None	NA	NA	0.39	0
YDL050C	None	NA	NA	0.25	1
YDL051W	GFP	NA	NA	0.76	0
YDL052C	Both	NA	NA	0.6	0
YDL053C	Both	1564	NA	0.49	0
YDL054C	GFP	NA	NA	0.12	0
YDL055C	Both	97062	NA	0.67	0
YDL056W	Both	521	NA	0.75	0
YDL057W	TAP	NA	NA	0.47	0
YDL058W	Both	2325	NA	0.78	0
YDL059C	Both	468	NA	0.44	0
YDL060W	Both	1391	NA	0.87	0
YDL061C	Both	5414	NA	0.25	0
YDL062W	None	NA	NA	0.19	1
YDL063C	Both	2595	NA	0.64	0
YDL064W	Both	2595	NA	0.56	0
YDL065C	Both	5347	NA	0.77	0
YDL066W	GFP	NA	NA	0.75	0
YDL067C	Both	35502	NA	0.28	0
YDL068W	None	NA	NA	-0.15	1
YDL069C	TAP	556	NA	0.31	0
YDL070W	Both	2926	NA	0.73	0
YDL071C	None	NA	NA	0.06	1
YDL072C	Both	2836	NA	0.58	0
YDL073W	None	NA	NA	0.73	0
YDL074C	Both	2982	NA	0.69	0
YDL075W	None	NA	NA	0.61	0
YDL076C	Both	3060	NA	0.56	0
YDL077C	Both	319	NA	0.76	0
YDL078C	Both	3302	NA	0.65	0
YDL079C	None	NA	NA	0.63	0
YDL080C	Both	2145	NA	0.63	0
YDL081C	GFP	NA	NA	0.67	0
YDL082W	Both	133101	NA	0.56	0
YDL083C	GFP	NA	NA	0.58	0
YDL084W	Both	51687	NA	0.81	0
YDL085C-A	Both	876	NA	0.6	0
YDL085W	None	NA	NA	0.65	0
YDL086W	None	NA	NA	0.47	0
YDL087C	Both	2265	NA	0.25	0
YDL088C	Both	2745	NA	0.58	0
YDL089W	Both	606	NA	0.68	0
YDL090C	Both	3910	NA	0.57	0
YDL091C	Both	233	NA	0.61	0
YDL092W	Both	7996	NA	0.53	0
YDL093W	None	NA	NA	0.6	0
YDL094C	None	NA	NA	0.18	0
YDL095W	Both	41520	NA	0.7	0
YDL096C	None	NA	NA	0.08	1
YDL097C	Both	16761	NA	0.66	0
YDL098C	Both	907	NA	0.48	0
YDL099W	Both	5215	NA	0.76	0
YDL100C	Both	17332	NA	0.79	0
YDL101C	Both	3476	NA	0.76	0
YDL102W	GFP	NA	NA	0.85	0
YDL103C	Both	5481	NA	0.78	0
YDL104C	Both	1404	NA	0.61	0
YDL105W	Both	NA	NA	0.76	0
YDL106C	Both	6419	NA	0.62	0
YDL107W	Both	736	NA	0.56	0
YDL108W	Both	4401	NA	0.62	0
YDL109C	TAP	195	NA	0.72	0
YDL110C	Both	2108	NA	0.46	0
YDL111C	Both	7109	NA	0.53	0
YDL112W	Both	861	NA	0.82	0
YDL113C	Both	358	NA	0.77	0
YDL114W	None	NA	NA	0.45	0
YDL114W-A	None	NA	NA	0.03	1
YDL115C	Both	1084	NA	0.63	0
YDL116W	Both	8579	NA	0.78	0
YDL117W	Both	377	NA	0.77	0
YDL118W	None	NA	NA	0.24	1
YDL119C	Both	1551	NA	0.41	0
YDL120W	Both	1564	NA	0.54	0
YDL121C	Both	3259	NA	0.7	0
YDL122W	Both	8966	NA	0.87	0
YDL123W	Both	6785	NA	0.1	0
YDL124W	Both	4031	NA	0.76	0
YDL125C	Both	5414	NA	0.61	0
YDL126C	Both	78351	NA	0.82	0
YDL127W	None	NA	NA	0.45	0
YDL128W	Both	7771	NA	0.54	0
YDL129W	Both	450	NA	0.53	0
YDL130W	Both	22448	NA	0.53	0
YDL130W-A	Both	NA	NA	0.49	0
YDL131W	Both	21864	NA	0.7	0
YDL132W	Both	377	NA	0.83	0
YDL133C-A	Both	4910	NA	0.14	0
YDL133W	None	NA	NA	0.73	0
YDL134C	Both	5615	NA	0.61	0
YDL135C	Both	1669	NA	0.74	0
YDL136W	Both	19096	NA	0.52	0
YDL137W	Both	25012	NA	0.64	0
YDL138W	TAP	NA	NA	0.55	0
YDL139C	Both	556	NA	0.56	0
YDL140C	Both	NA	NA	0.73	0
YDL141W	Both	1973	NA	0.7	0
YDL142C	Both	876	NA	0.23	0
YDL143W	TAP	5535	8.97E+02	0.75	0
YDL144C	Both	5171	NA	0.32	0
YDL145C	Both	15238	NA	0.88	0
YDL146W	Both	329	NA	0.64	0
YDL147W	Both	5705	NA	0.77	0
YDL148C	None	NA	NA	0.87	0
YDL149W	TAP	NA	NA	0.76	0
YDL150W	Both	998	1.57E+02	0.74	0
YDL151C	None	NA	NA	0.22	0
YDL152W	GFP	NA	NA	0.29	0
YDL153C	None	NA	NA	0.84	0
YDL154W	None	NA	NA	0.75	0
YDL155W	Both	892	NA	0.66	0
YDL156W	Both	3810	NA	0.71	0
YDL157C	Both	752	NA	0.62	0
YDL158C	None	NA	NA	0.24	1
YDL159W	Both	672	NA	0.61	0
YDL159W-A	None	NA	NA	0.06	1
YDL160C	Both	42884	NA	0.7	0
YDL161W	Both	NA	NA	0.54	0
YDL162C	None	NA	NA	0.12	1
YDL163W	None	NA	NA	0.36	0
YDL164C	Both	149	NA	0.84	0
YDL165W	Both	2120	NA	0.48	0
YDL166C	Both	8349	NA	0.55	0
YDL167C	Both	3573	NA	0.46	0
YDL168W	Both	8375	NA	0.64	0
YDL169C	None	NA	NA	0.49	0
YDL170W	Both	1198	NA	0.58	0
YDL171C	Both	18915	NA	0.81	0
YDL172C	None	NA	NA	0.29	0
YDL173W	Both	1141	NA	0.58	0
YDL174C	Both	10785	NA	0.74	0
YDL175C	Both	1797	NA	0.44	0
YDL176W	Both	339	NA	0.53	0
YDL177C	TAP	907	NA	0.49	0
YDL178W	Both	11368	NA	0.83	0
YDL179W	None	NA	NA	0.38	0
YDL180W	GFP	NA	NA	0.5	0
YDL181W	Both	981	NA	0.41	0
YDL182W	Both	28104	NA	0.63	0
YDL183C	None	NA	NA	0.47	0
YDL184C	Both	11875	NA	0.14	0
YDL185C-A	None	NA	NA	0.08	1
YDL185W	Both	199895	NA	0.79	0
YDL186W	None	NA	NA	0.44	0
YDL187C	None	NA	NA	-0.14	1
YDL188C	Both	4113	NA	0.64	0
YDL189W	Both	892	NA	0.54	0
YDL190C	Both	2595	NA	0.85	0
YDL191W	GFP	NA	NA	0.53	0
YDL192W	Both	19343	NA	0.64	0
YDL193W	GFP	NA	NA	0.79	0
YDL194W	None	NA	NA	0.72	0
YDL195W	Both	1835	NA	0.78	0
YDL196W	None	NA	NA	-0.05	1
YDL197C	Both	1911	NA	0.59	0
YDL198C	None	NA	NA	0.64	0
YDL199C	None	NA	NA	0.46	0
YDL200C	None	NA	NA	0.61	0
YDL201W	Both	2630	NA	0.72	0
YDL202W	Both	6070	NA	0.52	0
YDL203C	Both	99	NA	0.69	0
YDL204W	Both	NA	NA	0.64	0
YDL205C	Both	8481	1.08E+03	0.65	0
YDL206W	None	NA	NA	0.47	0
YDL207W	Both	1040	NA	0.65	0
YDL208W	GFP	NA	NA	0.66	0
YDL209C	Both	2653	NA	0.72	0
YDL210W	None	NA	NA	0.56	0
YDL211C	Both	3357	NA	0.34	0
YDL212W	Both	6512	NA	0.64	0
YDL213C	Both	8966	NA	0.68	0
YDL214C	None	NA	NA	0.68	0
YDL215C	Both	7401	NA	0.84	0
YDL216C	Both	NA	NA	0.53	0
YDL217C	None	NA	NA	0.48	0
YDL218W	None	NA	NA	0.46	0
YDL219W	Both	4611	NA	0.68	0
YDL220C	Both	319	3.10E+01	0.47	0
YDL221W	None	NA	NA	-0.07	1
YDL222C	Both	329	NA	0.27	0
YDL223C	GFP	NA	NA	0.76	0
YDL224C	GFP	NA	NA	0.57	0
YDL225W	Both	5615	NA	0.84	0
YDL226C	Both	9556	NA	0.78	0
YDL227C	Both	NA	NA	0.62	0
YDL228C	TAP	NA	NA	0.21	0
YDL229W	Both	170039	NA	0.71	0
YDL230W	Both	2688	NA	0.37	0
YDL231C	None	NA	NA	0.74	0
YDL232W	Both	2432	NA	0.38	0
YDL233W	Both	1011	NA	0.47	0
YDL234C	Both	2455	NA	0.71	0
YDL235C	Both	6325	NA	0.72	0
YDL236W	Both	2982	NA	0.71	0
YDL237W	None	NA	NA	0.74	0
YDL238C	Both	279	NA	0.6	0
YDL239C	None	NA	NA	0.71	0
YDL240C-A	None	NA	NA	0.12	1
YDL240W	Both	468	NA	0.76	0
YDL241W	TAP	1295	NA	0.32	0
YDL242W	None	NA	NA	0.27	0
YDL243C	None	NA	NA	0.67	0
YDL244W	None	NA	NA	0.67	0
YDL245C	None	NA	NA	0.56	0
YDL246C	None	NA	NA	0.62	0
YDL247W	None	NA	NA	0.56	0
YDL247W-A	None	NA	NA	0.02	1
YDL248W	GFP	NA	NA	0.41	0
YDR001C	Both	1835	NA	0.81	0
YDR002W	None	NA	NA	0.76	0
YDR003W	Both	1226	NA	0.43	0
YDR004W	Both	238	NA	0.73	0
YDR005C	Both	1720	NA	0.57	0
YDR006C	GFP	NA	NA	0.69	0
YDR007W	Both	1848	NA	0.62	0
YDR008C	None	NA	NA	0.25	0
YDR009W	Both	721	NA	0.66	0
YDR010C	None	NA	NA	-0.04	1
YDR011W	Both	1295	NA	0.78	0
YDR012W	Both	151454	NA	0.56	0
YDR013W	TAP	1431	NA	0.58	0
YDR014W	Both	721	NA	0.64	0
YDR015C	None	NA	NA	0.21	1
YDR016C	Both	799	NA	0.5	0
YDR017C	Both	1936	NA	0.78	0
YDR018C	None	NA	NA	0.58	0
YDR019C	Both	4092	NA	0.75	0
YDR020C	Both	4277	NA	0.56	0
YDR021W	Both	3090	3.29E+02	0.72	0
YDR022C	Both	486	NA	0.58	0
YDR023W	GFP	NA	NA	0.83	0
YDR024W	GFP	NA	NA	-0.15	0
YDR025W	Both	NA	NA	0.41	0
YDR026C	Both	432	NA	0.77	0
YDR027C	Both	2537	NA	0.72	0
YDR028C	Both	2560	NA	0.73	0
YDR029W	None	NA	NA	0.04	1
YDR030C	None	NA	NA	0.63	0
YDR031W	GFP	NA	NA	0.41	0
YDR032C	Both	2325	NA	0.64	0
YDR033W	Both	182462	NA	0.5	0
YDR034C	Both	450	NA	0.76	0
YDR034C-A	None	NA	NA	0.1	1
YDR034W-B	Both	861	NA	0.02	0
YDR035W	Both	8966	NA	0.78	0
YDR036C	Both	3950	NA	0.81	0
YDR037W	None	NA	NA	0.8	0
YDR038C	Both	606	NA	0.81	0
YDR039C	Both	639	NA	0.81	0
YDR040C	Both	688	NA	0.81	0
YDR041W	Both	8476	NA	0.62	0
YDR042C	None	NA	NA	0.33	0
YDR043C	Both	556	NA	0.34	0
YDR044W	Both	22029	3.43E+03	0.64	0
YDR045C	None	NA	NA	0.41	0
YDR046C	Both	NA	NA	0.55	0
YDR047W	Both	9223	4.56E+02	0.63	0
YDR048C	None	NA	NA	0.11	1
YDR049W	Both	3930	NA	0.78	0
YDR050C	Both	207073	NA	0.65	0
YDR051C	Both	3171	NA	0.64	0
YDR052C	Both	NA	NA	0.78	0
YDR053W	None	NA	NA	0.08	1
YDR054C	Both	8172	NA	0.59	0
YDR055W	Both	11677	NA	0.53	0
YDR056C	Both	1597	NA	0.66	0
YDR057W	None	NA	NA	0.71	0
YDR058C	None	NA	NA	0.57	0
YDR059C	Both	981	NA	0.52	0
YDR060W	Both	15024	NA	0.89	0
YDR061W	Both	1578	NA	0.64	0
YDR062W	Both	54505	NA	0.72	0
YDR063W	Both	3038	NA	0.69	0
YDR064W	None	NA	NA	0.56	0
YDR065W	Both	1669	NA	0.54	0
YDR066C	Both	1055	NA	0.28	0
YDR067C	Both	NA	NA	0.49	0
YDR068W	Both	3270	NA	0.7	0
YDR069C	Both	428	NA	0.71	0
YDR070C	Both	937	NA	0.64	0
YDR071C	Both	8682	NA	0.66	0
YDR072C	Both	606	NA	0.42	0
YDR073W	Both	1026	NA	0.19	0
YDR074W	Both	22725	NA	0.82	0
YDR075W	Both	2836	NA	0.59	0
YDR076W	Both	1055	NA	0.52	0
YDR077W	Both	1630	NA	0.36	0
YDR078C	None	NA	NA	0.47	0
YDR079C-A	Both	NA	NA	0.58	0
YDR079W	Both	468	NA	0.46	0
YDR080W	Both	1169	NA	0.79	0
YDR081C	Both	572	8.11E+01	0.7	0
YDR082W	None	NA	NA	0.56	0
YDR083W	Both	2779	NA	0.8	0
YDR084C	Both	1040	NA	0.24	0
YDR085C	None	NA	NA	0.7	0
YDR086C	GFP	NA	NA	0.62	0
YDR087C	Both	6964	NA	0.65	0
YDR088C	Both	1493	2.52E+02	0.73	0
YDR089W	Both	172	NA	0.71	0
YDR090C	Both	NA	NA	0.5	0
YDR091C	Both	6278	NA	0.75	0
YDR092W	Both	8966	NA	0.56	0
YDR093W	Both	NA	NA	0.83	0
YDR094W	None	NA	NA	0.02	1
YDR095C	None	NA	NA	-0.14	1
YDR096W	Both	432	NA	0.57	0
YDR097C	Both	5325	NA	0.89	0
YDR098C	Both	11006	NA	0.68	0
YDR099W	Both	47603	NA	0.68	0
YDR100W	Both	4538	NA	0.36	0
YDR101C	Both	45118	NA	0.77	0
YDR102C	None	NA	NA	0.12	1
YDR103W	Both	1898	NA	0.72	0
YDR104C	None	NA	NA	0.74	0
YDR105C	Both	NA	NA	0.36	0
YDR106W	None	NA	NA	0.49	0
YDR107C	None	NA	NA	0.49	0
YDR108W	Both	8759	NA	0.69	0
YDR109C	TAP	NA	NA	0.72	0
YDR110W	Both	1512	NA	0.79	0
YDR111C	Both	3476	NA	0.77	0
YDR112W	None	NA	NA	0.01	1
YDR113C	None	NA	NA	0.75	0
YDR114C	None	NA	NA	-0.1	1
YDR115W	Both	195	NA	0.21	0
YDR116C	Both	7012	NA	0.56	0
YDR117C	TAP	3870	NA	0.8	0
YDR118W	Both	1332	8.53E+01	0.67	0
YDR119W	GFP	NA	NA	0.57	0
YDR120C	Both	15545	NA	0.77	0
YDR121W	Both	2096	NA	0.72	0
YDR122W	Both	279	NA	0.77	0
YDR123C	Both	784	NA	0.47	0
YDR124W	TAP	3515	NA	0.47	0
YDR125C	Both	143	NA	0.56	0
YDR126W	None	NA	NA	0.16	0
YDR127W	Both	6419	NA	0.84	0
YDR128W	Both	556	NA	0.68	0
YDR129C	Both	3515	NA	0.87	0
YDR130C	GFP	NA	NA	0.48	0
YDR131C	GFP	NA	NA	0.55	0
YDR132C	Both	172	NA	0.69	0
YDR133C	None	NA	NA	-0.11	1
YDR134C	None	NA	NA	0.45	0
YDR135C	Both	396	NA	0.81	0
YDR136C	None	NA	NA	-0.05	1
YDR137W	Both	589	NA	0.7	0
YDR138W	Both	1336	NA	0.77	0
YDR139C	Both	1309	NA	0.42	0
YDR140W	Both	3389	NA	0.54	0
YDR141C	Both	2699	NA	0.74	0
YDR142C	TAP	589	NA	0.51	0
YDR143C	TAP	172	NA	0.62	0
YDR144C	Both	538	NA	0.61	0
YDR145W	Both	930	4.50E+01	0.52	0
YDR146C	Both	688	NA	0.74	0
YDR147W	Both	3422	NA	0.69	0
YDR148C	Both	7971	NA	0.76	0
YDR149C	None	NA	NA	0.18	0
YDR150W	Both	NA	NA	0.77	0
YDR151C	None	NA	NA	0.51	0
YDR152W	Both	10294	NA	0.74	0
YDR153C	Both	8096	NA	0.72	0
YDR154C	None	NA	NA	0.03	1
YDR155C	Both	85990	NA	0.57	0
YDR156W	Both	3105	NA	0.39	0
YDR157W	None	NA	NA	0.07	1
YDR158W	Both	18361	NA	0.74	0
YDR159W	Both	339	NA	0.77	0
YDR160W	None	NA	NA	0.61	0
YDR161W	Both	1630	NA	0.75	0
YDR162C	TAP	521	NA	0.63	0
YDR163W	None	NA	NA	0.44	0
YDR164C	Both	639	NA	0.77	0
YDR165W	Both	5910	NA	0.78	0
YDR166C	Both	3399	2.28E+02	0.71	0
YDR167W	Both	3368	NA	0.55	0
YDR168W	Both	10226	NA	0.82	0
YDR169C	Both	639	NA	0.58	0
YDR170C	Both	3671	NA	0.87	0
YDR170W-A	Both	2915	NA	0.5	0
YDR171W	Both	1472	NA	0.71	0
YDR172W	Both	78851	9.52E+03	0.79	0
YDR173C	Both	2722	NA	0.65	0
YDR174W	Both	19014	NA	0.71	0
YDR175C	Both	3149	NA	0.69	0
YDR176W	Both	2467	NA	0.76	0
YDR177W	Both	8940	NA	0.7	0
YDR178W	Both	7921	NA	0.52	0
YDR179C	Both	358	NA	0.46	0
YDR179W-A	TAP	259	NA	0.4	0
YDR180W	Both	3313	NA	0.77	0
YDR181C	Both	768	NA	0.7	0
YDR182W	Both	583	7.74E+01	0.51	0
YDR183W	Both	2253	NA	0.65	0
YDR184C	Both	846	NA	0.64	0
YDR185C	Both	672	NA	0.2	0
YDR186C	Both	195	NA	0.59	0
YDR187C	None	NA	NA	-0.05	1
YDR188W	None	NA	NA	0.6	0
YDR189W	Both	5782	1.60E+03	0.85	0
YDR190C	Both	11621	NA	0.79	0
YDR191W	Both	377	NA	0.54	0
YDR192C	None	NA	NA	0.32	0
YDR193W	GFP	NA	NA	0.28	0
YDR194C	Both	10294	NA	0.82	0
YDR195W	Both	7450	NA	0.68	0
YDR196C	Both	1656	NA	0.53	0
YDR197W	Both	2145	NA	0.59	0
YDR198C	TAP	768	NA	0.55	0
YDR199W	None	NA	NA	0.02	1
YDR200C	Both	377	NA	0.69	0
YDR201W	Both	639	NA	0.7	0
YDR202C	Both	2858	NA	0.64	0
YDR203W	None	NA	NA	0.07	1
YDR204W	GFP	NA	NA	0.52	0
YDR205W	Both	1069	NA	0.41	0
YDR206W	None	NA	NA	0.6	0
YDR207C	Both	217	NA	0.56	0
YDR208W	GFP	NA	NA	0.64	0
YDR209C	None	NA	NA	0.23	1
YDR210W	Both	13113	NA	0.26	0
YDR211W	Both	33849	6.70E+03	0.8	0
YDR212W	None	NA	NA	0.77	0
YDR213W	Both	752	NA	0.7	0
YDR214W	Both	13939	NA	0.6	0
YDR215C	None	NA	NA	-0.1	1
YDR216W	Both	NA	NA	0.75	0
YDR217C	Both	400	NA	0.76	0
YDR218C	None	NA	NA	0.74	0
YDR219C	Both	1364	NA	0.6	0
YDR220C	None	NA	NA	-0.04	1
YDR221W	Both	9756	NA	0.79	0
YDR222W	Both	1011	NA	0.68	0
YDR223W	None	NA	NA	0.53	0
YDR224C	Both	NA	NA	0.6	0
YDR225W	GFP	NA	NA	0.58	0
YDR226W	Both	122595	NA	0.76	0
YDR227W	Both	NA	NA	0.75	0
YDR228C	Both	2804	7.53E+02	0.69	0
YDR229W	Both	2836	NA	0.61	0
YDR230W	None	NA	NA	0.03	1
YDR231C	Both	NA	NA	0.35	0
YDR232W	Both	22578	2.66E+03	0.64	0
YDR233C	Both	37105	NA	0.64	0
YDR234W	Both	7352	NA	0.75	0
YDR235W	Both	1730	8.03E+01	0.55	0
YDR236C	Both	830	NA	0.49	0
YDR237W	None	NA	NA	0.55	0
YDR238C	Both	26000	NA	0.86	0
YDR239C	Both	155	NA	0.73	0
YDR240C	Both	361	5.81E+01	0.63	0
YDR241W	None	NA	NA	0.07	1
YDR242W	None	NA	NA	0.73	0
YDR243C	Both	NA	NA	0.9	0
YDR244W	Both	2072	NA	0.74	0
YDR245W	Both	6278	NA	0.52	0
YDR246W	Both	3127	NA	0.39	0
YDR247W	Both	784	NA	0.57	0
YDR248C	Both	504	NA	0.64	0
YDR249C	None	NA	NA	0.42	0
YDR250C	Both	NA	NA	0.04	0
YDR251W	Both	300	NA	0.69	0
YDR252W	Both	1822	NA	0.57	0
YDR253C	Both	NA	NA	0.54	0
YDR254W	Both	606	NA	0.56	0
YDR255C	None	NA	NA	0.58	0
YDR256C	TAP	623	NA	0.65	0
YDR257C	Both	4011	NA	0.69	0
YDR258C	Both	2993	NA	0.86	0
YDR259C	TAP	1350	NA	0.49	0
YDR260C	None	NA	NA	0.38	0
YDR261C	Both	2408	NA	0.64	0
YDR262W	Both	4846	NA	0.66	0
YDR263C	None	NA	NA	0.66	0
YDR264C	Both	4072	NA	0.71	0
YDR265W	GFP	NA	NA	0.58	0
YDR266C	Both	1911	NA	0.74	0
YDR267C	Both	5638	NA	0.49	0
YDR268W	Both	672	NA	0.64	0
YDR269C	None	NA	NA	-0.03	1
YDR270W	GFP	NA	NA	0.72	0
YDR271C	None	NA	NA	0.25	0
YDR272W	Both	13731	NA	0.66	0
YDR273W	None	NA	NA	0.72	0
YDR274C	None	NA	NA	-0.25	1
YDR275W	Both	922	NA	0.5	0
YDR276C	Both	NA	NA	0.32	0
YDR277C	TAP	NA	NA	0.49	0
YDR278C	None	NA	NA	-0.18	1
YDR279W	Both	2337	NA	0.66	0
YDR280W	Both	4803	NA	0.73	0
YDR281C	GFP	NA	NA	0.29	0
YDR282C	None	NA	NA	0.58	0
YDR283C	Both	279	NA	0.84	0
YDR284C	Both	3038	NA	0.42	0
YDR285W	TAP	391	NA	0.73	0
YDR286C	None	NA	NA	0.42	0
YDR287W	None	NA	NA	0.56	0
YDR288W	Both	2537	NA	0.68	0
YDR289C	TAP	3930	NA	0.77	0
YDR290W	None	NA	NA	0.27	0
YDR291W	Both	259	NA	0.79	0
YDR292C	TAP	1998	NA	0.82	0
YDR293C	Both	1098	NA	0.85	0
YDR294C	Both	13113	NA	0.71	0
YDR295C	Both	1498	NA	0.76	0
YDR296W	Both	2607	NA	0.29	0
YDR297W	Both	54278	NA	0.57	0
YDR298C	Both	32363	NA	0.72	0
YDR299W	Both	15422	NA	0.85	0
YDR300C	Both	10430	NA	0.79	0
YDR301W	Both	639	NA	0.88	0
YDR302W	Both	NA	NA	0.34	0
YDR303C	Both	1753	1.15E+01	0.68	0
YDR304C	GFP	NA	NA	0.66	0
YDR305C	Both	1923	NA	0.66	0
YDR306C	None	NA	NA	0.62	0
YDR307W	Both	NA	NA	0.49	0
YDR308C	Both	1391	NA	0.65	0
YDR309C	Both	1127	NA	0.57	0
YDR310C	Both	149	NA	0.77	0
YDR311W	Both	5145	1.19E+02	0.85	0
YDR312W	Both	1350	NA	0.77	0
YDR313C	Both	195	NA	0.43	0
YDR314C	Both	79	NA	0.7	0
YDR315C	None	NA	NA	0.39	0
YDR316W	Both	504	NA	0.7	0
YDR317W	None	NA	NA	0.63	0
YDR318W	Both	952	NA	0.57	0
YDR319C	Both	NA	NA	0.11	0
YDR320C	Both	768	NA	0.77	0
YDR320C-A	Both	967	NA	0.21	0
YDR321W	None	NA	NA	0.7	0
YDR322C-A	Both	4590	NA	0.55	0
YDR322W	Both	7696	NA	0.69	0
YDR323C	Both	768	NA	0.61	0
YDR324C	Both	5436	NA	0.73	0
YDR325W	Both	1923	NA	0.78	0
YDR326C	Both	NA	NA	0.76	0
YDR327W	None	NA	NA	0.02	1
YDR328C	GFP	NA	NA	0.49	0
YDR329C	Both	1404	NA	0.44	0
YDR330W	Both	6630	NA	0.77	0
YDR331W	Both	1564	NA	0.57	0
YDR332W	Both	172	NA	0.66	0
YDR333C	Both	339	NA	0.79	0
YDR334W	Both	656	NA	0.85	0
YDR335W	Both	3497	NA	0.8	0
YDR336W	None	NA	NA	0.52	0
YDR337W	Both	6964	NA	0.68	0
YDR338C	Both	195	NA	0.58	0
YDR339C	None	NA	NA	0.52	0
YDR340W	None	NA	NA	0.16	1
