# Downloaded from http://www.nature.com/nature/journal/v425/n6959/suppinfo/nature02046.html
# Ghaemmaghami et al. Nature 2003
#ORF	Observed Expression	Protein Molecules/Cell	Standard Deviation	CEC	Spurious
orf	method	abund	sd.abund	cec	spurious
YBL040C	Both	NA	NA	0.28	0
YBL041W	None	NA	NA	0.65	0
YBL042C	Both	NA	NA	0.55	0
YBL043W	None	NA	NA	0.66	0
YBL044W	None	NA	NA	0.03	1
YBL045C	Both	19343	NA	0.71	0
YBL046W	Both	1011	NA	0.62	0
YBL047C	Both	1377	NA	0.83	0
YBL048W	None	NA	NA	0.02	1
YBL049W	None	NA	NA	0.23	1
YBL050W	None	NA	NA	0.65	0
YBL051C	Both	4633	NA	0.61	0
YBL052C	Both	NA	NA	0.66	0
YBL053W	None	NA	NA	0	1
YBL054W	Both	830	NA	0.52	0
YBL055C	Both	1458	NA	0.69	0
YBL056W	Both	19673	NA	0.76	0
YBL057C	Both	2193	NA	0.63	0
YBL058W	Both	3198	NA	0.83	0
YBL059C-A	Both	279	NA	0.58	0
YBL059W	Both	623	NA	0.28	0
YBL060W	Both	NA	NA	0.8	0
YBL061C	Both	2584	NA	0.67	0
YBL062W	None	NA	NA	0.24	1
YBL063W	Both	57	NA	0.71	0
YBL064C	Both	4506	NA	0.7	0
YBL065W	None	NA	NA	0.05	1
YBL066C	None	NA	NA	0.67	0
YBL067C	Both	125	NA	0.7	0
YBL068W	Both	5281	NA	0.69	0
YBL069W	GFP	NA	NA	0.72	0
YBL070C	None	NA	NA	0.08	1
YBL071C	None	NA	NA	0.18	1
YBL071W-A	Both	8400	NA	0.45	0
YBL072C	Both	15948	NA	0.58	0
YBL073W	None	NA	NA	-0.03	1
YBL074C	Both	7328	5.00E+02	0.69	0
YBL075C	Both	6442	NA	0.82	0
YBL076C	Both	23282	NA	0.84	0
YBL077W	None	NA	NA	0.04	1
YBL078C	TAP	2010	NA	0.48	0
YBL079W	Both	1564	NA	0.86	0
YBL080C	Both	1391	NA	0.65	0
YBL081W	None	NA	NA	0.16	0
YBL082C	Both	NA	NA	0.1	0
YBL083C	None	NA	NA	0.12	1
YBL084C	Both	593	8.80E+01	0.56	0
YBL085W	Both	1040	NA	0.71	0
YBL086C	Both	396	NA	0.58	0
YBL087C	GFP	NA	NA	0.55	0
YBL088C	None	NA	NA	0.77	0
YBL089W	None	NA	NA	0.24	0
YBL090W	Both	1268	NA	0.46	0
YBL091C	Both	1084	NA	0.78	0
YBL091C-A	TAP	358	NA	0.32	0
YBL092W	None	NA	NA	0.46	0
YBL093C	Both	6116	NA	0.51	0
YBL094C	None	NA	NA	0.21	1
YBL095W	Both	704	NA	0.51	0
YBL096C	None	NA	NA	0.07	1
YBL097W	Both	704	NA	0.74	0
YBL098W	Both	556	NA	0.71	0
YBL099W	Both	41520	NA	0.67	0
YBL100C	None	NA	NA	0.23	1
YBL101C	Both	799	NA	0.7	0
YBL102W	Both	279	NA	0.29	0
YBL103C	Both	1055	NA	0.73	0
YBL104C	Both	184	NA	0.78	0
YBL105C	GFP	NA	NA	0.86	0
YBL106C	None	NA	NA	0.74	0
YBL107C	Both	768	NA	0.48	0
YBL108C-A	None	NA	NA	0.38	0
YBL108W	None	NA	NA	0.05	1
YBL109W	None	NA	NA	-0.12	1
YBL111C	Both	279	NA	0.48	0
YBL112C	None	NA	NA	0.18	1
YBL113C	None	NA	NA	0.27	0
YBR001C	Both	2502	NA	0.72	0
YBR002C	Both	8966	NA	0.5	0
YBR003W	Both	1564	NA	0.72	0
YBR004C	None	NA	NA	0.34	0
YBR005W	GFP	NA	NA	0.28	0
YBR006W	Both	NA	NA	0.77	0
YBR007C	Both	377	NA	0.68	0
YBR008C	GFP	NA	NA	0.5	0
YBR009C	Both	523616	NA	0.47	0
YBR010W	Both	213289	NA	0.55	0
YBR011C	Both	68411	NA	0.72	0
YBR012C	None	NA	NA	0.33	0
YBR013C	None	NA	NA	0.26	0
YBR014C	GFP	NA	NA	0.7	0
YBR015C	Both	6725	NA	0.71	0
YBR016W	Both	1759	NA	0.11	0
YBR017C	Both	2133	NA	0.79	0
YBR018C	None	NA	NA	0.75	0
YBR019C	None	NA	NA	0.79	0
YBR020W	None	NA	NA	0.72	0
YBR021W	None	NA	NA	0.55	0
YBR022W	TAP	1169	NA	0.44	0
YBR023C	Both	1512	NA	0.81	0
YBR024W	TAP	1485	NA	0.68	0
YBR025C	Both	36803	NA	0.76	0
YBR026C	Both	1564	NA	0.73	0
YBR027C	None	NA	NA	-0.13	1
YBR028C	Both	1472	NA	0.81	0
YBR029C	None	NA	NA	0.55	0
YBR030W	Both	7883	NA	0.78	0
YBR031W	GFP	NA	NA	0.56	0
YBR032W	None	NA	NA	0.19	1
YBR033W	None	NA	NA	0.7	0
YBR034C	Both	37570	NA	0.72	0
YBR035C	None	NA	NA	0.69	0
YBR036C	Both	NA	NA	0.45	0
YBR037C	Both	2549	NA	0.5	0
YBR038W	None	NA	NA	0.78	0
YBR039W	Both	28104	NA	0.75	0
YBR040W	None	NA	NA	0.35	0
YBR041W	Both	16888	NA	0.74	0
YBR042C	Both	2010	NA	0.59	0
YBR043C	Both	279	NA	0.69	0
YBR044C	None	NA	NA	0.67	0
YBR045C	None	NA	NA	0.69	0
YBR046C	GFP	NA	NA	0.71	0
YBR047W	Both	2157	NA	0.52	0
YBR048W	Both	1198	NA	0.42	0
YBR049C	Both	7514	5.31E+02	0.8	0
YBR050C	None	NA	NA	0.53	0
YBR051W	None	NA	NA	0.1	1
YBR052C	Both	7061	NA	0.61	0
YBR053C	TAP	4195	NA	0.69	0
YBR054W	Both	1948	NA	0.61	0
YBR055C	Both	2253	2.95E+02	0.74	0
YBR056W	Both	1960	NA	0.73	0
YBR057C	Both	3400	NA	0.62	0
YBR058C	Both	3038	NA	0.8	0
YBR058C-A	GFP	NA	NA	0.15	0
YBR059C	Both	3005	NA	0.75	0
YBR060C	Both	1696	8.25E+01	0.75	0
YBR061C	Both	4113	NA	0.67	0
YBR062C	TAP	195	NA	0.5	0
YBR063C	None	NA	NA	0.56	0
YBR064W	None	NA	NA	0.22	1
YBR065C	Both	4256	NA	0.53	0
YBR066C	Both	704	NA	0.37	0
YBR067C	Both	35562	NA	0.48	0
YBR068C	Both	8656	NA	0.58	0
YBR069C	Both	504	NA	0.58	0
YBR070C	Both	339	NA	0.34	0
YBR071W	Both	1198	NA	0.44	0
YBR072W	Both	19343	NA	0.7	0
YBR073W	Both	1268	NA	0.78	0
YBR074W	None	NA	NA	0.59	0
YBR075W	None	NA	NA	0.7	0
YBR076W	None	NA	NA	0.49	0
YBR077C	Both	3486	NA	0.53	0
YBR078W	None	NA	NA	0.54	0
YBR079C	Both	52746	4.35E+03	0.78	0
YBR080C	Both	5925	1.23E+03	0.79	0
YBR081C	Both	2361	NA	0.83	0
YBR082C	Both	13480	NA	0.52	0
YBR083W	Both	530	NA	0.64	0
YBR084C-A	Both	97743	NA	0.53	0
YBR084W	Both	11424	NA	0.81	0
YBR085C-A	GFP	NA	NA	0.63	0
YBR085W	Both	1084	NA	0.58	0
YBR086C	Both	NA	NA	0.74	0
YBR087W	Both	5040	NA	0.55	0
YBR088C	GFP	NA	NA	0.7	0
YBR089C-A	Both	4590	NA	0.6	0
YBR089W	None	NA	NA	0.28	0
YBR090C	GFP	NA	NA	0.12	0
YBR091C	None	NA	NA	0.14	1
YBR092C	Both	952	NA	0.68	0
YBR093C	Both	1112	NA	0.64	0
YBR094W	Both	1772	NA	0.86	0
YBR095C	Both	1630	NA	0.79	0
YBR096W	Both	1948	NA	0.46	0
YBR097W	Both	279	NA	0.75	0
YBR098W	None	NA	NA	0.58	0
YBR099C	None	NA	NA	0.06	1
YBR100W	Both	NA	NA	0.46	0
YBR101C	Both	13113	NA	0.78	0
YBR102C	GFP	NA	NA	0.76	0
YBR103C-A	None	NA	NA	-0.08	1
YBR103W	Both	1617	NA	0.68	0
YBR104W	Both	1055	NA	0.48	0
YBR105C	Both	6654	NA	0.57	0
YBR106W	Both	61808	NA	0.59	0
YBR107C	Both	125	NA	0.52	0
YBR108W	None	NA	NA	0.41	0
YBR109C	GFP	NA	NA	0.73	0
YBR110W	Both	1885	NA	0.64	0
YBR111C	Both	7328	NA	0.74	0
YBR112C	Both	3890	NA	0.52	0
YBR113W	None	NA	NA	0.16	0
YBR114W	Both	358	NA	0.75	0
YBR115C	Both	7425	NA	0.84	0
YBR116C	None	NA	NA	0.07	1
YBR117C	Both	149	NA	0.77	0
YBR118W	Both	450	NA	0.64	0
YBR119W	Both	2949	NA	0.53	0
YBR120C	Both	2133	NA	0.56	0
YBR121C	Both	98425	1.21E+04	0.84	0
YBR122C	Both	NA	NA	0.66	0
YBR123C	Both	15841	1.08E+03	0.79	0
YBR124W	None	NA	NA	0.23	1
YBR125C	Both	149	NA	0.6	0
YBR126C	Both	10896	NA	0.58	0
YBR127C	Both	130502	NA	0.78	0
YBR128C	None	NA	NA	0.35	0
YBR129C	Both	1564	NA	0.68	0
YBR130C	Both	1011	NA	0.66	0
YBR131W	Both	2870	NA	0.63	0
YBR132C	GFP	NA	NA	0.57	0
YBR133C	Both	1184	NA	0.61	0
YBR134W	None	NA	NA	0.08	1
YBR135W	Both	8785	NA	0.32	0
YBR136W	None	NA	NA	0.81	0
YBR137W	Both	1198	NA	0.62	0
YBR138C	Both	195	NA	0.62	0
YBR139W	Both	1418	NA	0.7	0
YBR140C	GFP	NA	NA	0.79	0
YBR141C	Both	623	NA	0.38	0
YBR142W	Both	981	NA	0.88	0
YBR143C	Both	13113	NA	0.82	0
YBR144C	None	NA	NA	0.21	1
YBR145W	Both	1309	NA	0.65	0
YBR146W	None	NA	NA	0.61	0
YBR147W	None	NA	NA	0.52	0
YBR148W	None	NA	NA	0.76	0
YBR149W	Both	30200	NA	0.75	0
YBR150C	Both	573	NA	0.71	0
YBR151W	Both	1998	NA	0.7	0
YBR152W	Both	2514	NA	0.69	0
YBR153W	None	NA	NA	0.46	0
YBR154C	None	NA	NA	0.69	0
YBR155W	Both	672	NA	0.82	0
YBR156C	Both	319	NA	0.6	0
YBR157C	None	NA	NA	0.32	0
YBR158W	Both	2022	NA	0.67	0
YBR159W	Both	41938	NA	0.7	0
YBR160W	Both	6666	NA	0.63	0
YBR161W	Both	195	NA	0.47	0
YBR162C	Both	12317	NA	0.63	0
YBR162W-A	Both	846	NA	0.48	0
YBR163W	Both	1418	NA	0.68	0
YBR164C	Both	5193	NA	0.64	0
YBR165W	None	NA	NA	0.34	0
YBR166C	Both	2181	NA	0.78	0
YBR167C	Both	NA	NA	0.57	0
YBR168W	Both	NA	NA	0.47	0
YBR169C	Both	6302	NA	0.87	0
YBR170C	Both	1055	NA	0.71	0
YBR171W	Both	7821	NA	0.63	0
YBR172C	Both	486	NA	0.74	0
YBR173C	Both	2745	NA	0.49	0
YBR174C	None	NA	NA	0.17	1
YBR175W	Both	NA	NA	0.28	0
YBR176W	Both	1418	NA	0.68	0
YBR177C	Both	2549	NA	0.73	0
YBR178W	None	NA	NA	-0.02	1
YBR179C	Both	1011	NA	0.81	0
YBR180W	None	NA	NA	0.52	0
YBR181C	Both	38832	NA	0.63	0
YBR182C	None	NA	NA	0.45	0
YBR183W	None	NA	NA	0.27	0
YBR184W	None	NA	NA	0.58	0
YBR185C	Both	2722	NA	0.6	0
YBR186W	None	NA	NA	0.51	0
YBR187W	Both	2169	NA	0.53	0
YBR188C	Both	1431	NA	0.45	0
YBR189W	Both	63350	NA	0.64	0
YBR190W	None	NA	NA	0.29	0
YBR191W	GFP	NA	NA	0.54	0
YBR191W-A	None	NA	NA	0.03	1
YBR192W	None	NA	NA	0.62	0
YBR193C	Both	937	NA	0.58	0
