#rpkm values of gene expression		
#data file name	unstressed_noCHX	unstressed_1/64x_CHX	unstressed_1/16x_CHX	unstressed_1/4x_CHX	unstressed_1x_CHX	unstressed_8x_CHX	unstressed_100x_CHX_rep1	unstressed_100x_CHX_rep2	oxidative_noCHX	oxidative_1/64x_CHX	oxidative_1/16x_CHX	oxidative_1/4x_CHX	oxidative_1x_CHX	oxidative_8x_CHX	oxidative_100x_CHX_rep1	oxidative_100x_CHX_rep2	heatshock_noCHX	heatshock_1x_CHX	complete_SD_media	SD_no_aminoacids	SD_no_aminoacids_plus_His_Met_Leu	edeine_noCHX	aurin_noCHX 
#gene id/sample#	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23
orf	unstressed_noCHX	unstressed_1/64x_CHX	unstressed_1/16x_CHX	unstressed_1/4x_CHX	unstressed_1x_CHX	unstressed_8x_CHX	unstressed_100x_CHX_rep1	unstressed_100x_CHX_rep2	oxidative_noCHX	oxidative_1/64x_CHX	oxidative_1/16x_CHX	oxidative_1/4x_CHX	oxidative_1x_CHX	oxidative_8x_CHX	oxidative_100x_CHX_rep1	oxidative_100x_CHX_rep2	heatshock_noCHX	heatshock_1x_CHX	complete_SD_media	SD_no_aminoacids	SD_no_aminoacids_plus_His_Met_Leu	edeine_noCHX	aurin_noCHX
YFR031C	5.852	12.409	9.436	8.49	5.991	6.998	5.743	5.917	7.12	11.444	9.721	6.833	5.957	5.894	7.242	7.414	3.592	4.292	5.341	10.07	6.309	4.371	5.953
YFR032C	0.699	0	0.643	0.365	0.514	0.153	0.253	0.484	0.245	0	0.251	0.194	0.222	0.152	0	0	2.222	2.212	0.936	1.353	0.688	0	0.749
YFR032C-A	4748.768	2424.668	5528.353	5256.6	6288.663	5439.224	5640.942	4848.727	1543.044	966.065	735.724	720.533	1566.612	1016.827	1286.13	1780.67	317.843	322.02	4488.333	1260.65	984.754	6159.462	6393.238
YFR032C-B	6.996	6.006	14.098	15.438	13.674	10.044	2.77	9.996	4.595	12.535	19.995	22.789	41.671	34.945	25.578	34.113	0	22.847	5.024	3.175	1.076	9.576	7.029
YFR033C	20.326	10.021	21.123	13.084	17.256	19.495	10.566	12.997	45.999	51.392	63.362	55.627	61.586	37.059	27.39	34.778	146.706	127.738	53.592	168.038	213.959	27.391	52.781
YFR034C	41.455	75.132	51.768	50.462	41.194	42.772	40.693	41.387	51.753	79.386	54.947	43.121	32.989	37.778	48.767	39.906	39.421	10.962	44.069	243.934	32.818	43.987	43.626
YFR035C	0.146	0	0.674	0	1.615	0	0.53	0.304	0.384	1.678	0	0.61	0.697	0.477	0.263	0	1.164	1.39	0	2.126	0.72	0	1.765
YFR036W	23.079	14.326	35.431	36.315	36.936	26.526	31.864	30.619	40.758	37.376	50.502	50.014	38.519	36.576	48.812	39.749	22.81	29.728	19.849	30.299	30.166	35.692	34.06
YFR037C	68.069	79.784	77.957	66.754	63.611	71.91	84.124	82.373	74.92	91.422	75.98	62.117	55.901	61.525	69.497	72.783	42.932	20.992	79.502	124.071	103.166	78.821	77.086
YFR038W	13.909	17.002	16.3	15.94	14.145	12.903	12.127	12.106	13.428	20.039	15.669	15.241	10.756	12.066	13.683	15.312	6.138	1.937	14.14	23.69	14.195	15.787	14.106
YFR039C	14.538	18.901	20.168	22.674	17.583	17.242	12.275	12.324	26.62	28.978	30.556	28.69	20.03	17.548	18.419	19.821	21.887	14.262	16.243	35.978	18.229	15.069	14.179
YFR040W	16.838	24.717	21.346	22.774	19.227	18.403	14.548	14.806	55.335	60.632	66.043	57.456	46.34	39.803	40.421	39.411	11.37	13.349	16.074	19.513	16.504	14.306	22.688
YFR041C	33.536	26.873	41.706	41.233	31.639	37.477	31.877	24.019	90.603	47.479	60.462	66.591	67.647	52.987	53.643	44.237	32.927	44.525	40.517	98.47	53.309	33.88	34.928
YFR042W	23.881	19.581	44.652	28.523	24.39	29.707	19.356	15.11	66.1	65.39	85.9	95.703	74.047	58.13	41.955	45.345	65.754	48.759	26.618	42.448	45.266	26.538	21.773
YFR043C	11.563	8.823	19.097	14.89	13.965	12.839	14.271	15.291	28.993	24.776	34.557	26.54	24.765	27.239	23.439	27.055	16.717	18.862	14.761	40.711	22.135	9.591	20.184
YFR044C	218.337	207.817	186.373	204.507	187.288	197.377	191.733	243.307	351.562	275.213	281.311	297.664	281.538	277.014	293.048	286.795	281.099	172.595	245.315	369.488	415.032	193.388	218.187
YFR045W	7.076	4.914	19.774	16.686	9.506	14.609	7.196	7.352	34.459	34.641	50.896	57.015	43.187	27.1	25.256	24.714	13.276	12.84	11.076	65.24	29.548	9.576	12.142
YFR046C	4.691	7.492	7.537	6.99	6.02	6.802	5.595	5.366	9.935	11.258	16.824	12.281	12.996	11.98	9.556	11.173	4.627	6.909	6.894	29.577	9.488	8.362	6.723
YFR047C	56.333	73.12	46.736	56.406	50.556	43.897	41.679	38.676	89.766	111.133	101.83	101.5	92.364	86.085	81.816	73.728	94.076	76.081	69.402	101.113	165.528	33.88	68.393
YFR048W	9.263	11.732	13.464	12.361	10.056	9.031	10.446	10.927	16.753	22.418	21.546	17.174	15.014	12.135	15.579	14.17	9.509	10.459	10.305	39.974	14.016	12.055	8.62
YFR049W	65.518	23.537	91.074	72.914	57.228	67.912	62.521	53.968	272.523	188.943	308.483	268.218	257.535	258.854	226.349	224.985	112.163	136.504	85.196	549.484	459.428	70.727	72.581
YFR050C	181.944	130.669	217.211	215.902	191.945	178.248	166.39	188.89	617.667	558.352	667.55	690.764	517.675	505.203	511.959	547.364	398.197	260.942	189.677	491.05	559.473	222.908	268.264
YFR051C	90.328	103.543	106.954	102.048	109.316	98.111	76.996	79.06	172.913	160.08	154.963	151.148	133.489	115.667	117.764	103.999	96.028	68.525	80.937	144.976	140.767	100.636	121.004
YFR052W	155.149	150.118	206.604	206.427	166.304	187.277	153.719	150.982	544.085	472.952	628.956	608.716	492.29	472.024	451.928	513.217	313.046	230.692	170.328	309.586	241.505	205.781	234.141
YFR053C	25.744	19.945	70.412	136.204	56.146	85.08	43.638	35.446	1938.008	1323.639	1730.474	2240.164	1832.824	2270.335	2343.53	1275.084	614.339	2117.05	224.187	677.608	1121.017	43.655	68.868
YFR055W	66.741	132.321	57.613	57.909	55.024	44.36	61.884	47.712	146.946	221.828	74.189	58.309	75.708	61.583	106.837	113.486	41.085	8.119	6.36	56.421	60.046	63.804	69.631
YFR057W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL001C	97.983	85.016	83.616	116.08	100.95	89.172	83.424	77.181	125.419	119.014	77.156	92.374	96.037	87.041	123.569	72.662	102.044	56.653	91.175	115.117	116.121	76.869	118.163
YGL002W	15.553	23.238	32.67	29.102	21.307	21.567	18.141	20.556	46.325	63.424	63.013	49.652	35.349	45.637	37.714	32.491	30.013	17.928	22.056	32.134	37.159	17.101	22.491
YGL003C	7.816	15.688	13.926	13.091	9.887	8.378	7.865	8.564	25.003	30.816	28.915	23.531	17.822	17.167	19.228	17.687	8.548	6.383	7.913	17.89	14.993	12.507	12.151
YGL004C	10.44	7.681	12.737	14.87	9.602	9.686	8.324	8.33	25.139	24.583	31.591	29.796	23.244	21.283	16.609	16.185	20.26	19.187	10.174	47.835	25.848	8.505	15.234
YGL005C	15.748	15.306	21.648	17.677	14.974	18.444	14.824	14.802	31.184	26.669	26.327	25.657	27.706	19.44	22.849	16.981	13.871	7.365	15.727	64.744	29.338	13.794	26.678
YGL006W	9.085	5.613	13.706	15.25	9.714	12.309	7.113	6.881	58.407	43.493	59.863	59.808	45.484	42.483	36.115	37.275	70.489	63.707	15.56	61.634	59.471	9.523	8.633
YGL006W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL009C	401.852	36.935	164.999	32.025	129.441	140.4	80.034	197.796	48.86	98.563	61.053	54.66	64.68	42.971	68.166	67.742	26.73	19.465	295.919	5150.694	168.387	245.206	221.685
YGL010W	8.353	15.064	24.092	32.765	19.244	16.61	10.843	10.695	83.772	71.587	137.52	136.835	100.903	79.806	54.514	60.553	65.746	95.378	18.175	30.633	100.918	10.162	17.631
YGL011C	204.966	210.738	249.6	259.544	202.777	214.961	226.635	223.769	692.05	598.928	717.997	668.319	552.742	579.285	575.141	655.911	542.99	365.962	231.303	374.572	444.874	228.774	264.369
YGL012W	241.396	220.531	210.243	278.868	244.671	255.517	219.223	184.877	306.861	358.892	250.962	261.566	272.045	295.667	402.299	253.198	120.563	68.024	201.934	90.996	187.718	180.268	133.965
YGL013C	11.898	15.375	14.404	15.302	12.737	10.868	10.571	9.329	31.77	39.566	48.3	38.734	27.88	25.522	27.792	35.292	17.252	11.621	12.033	24.303	15.906	10.488	13.728
YGL014W	46.934	32.23	44.198	39.288	43.064	40.609	51.911	55.617	25.391	33.634	25.098	21.315	19.834	18.544	29.942	27.159	15.439	9.422	43.01	29.213	28.604	46.342	43.73
YGL015C	0	0	0	0	0	0	0	0.254	0	0	0	0	0	0	0.22	0.588	0	1.163	0	0	0	0	0
YGL016W	27.081	19.88	24.567	22.131	28.052	24.908	16.547	18.64	11.826	15.944	13.182	13.211	12.599	9.592	12.513	11.764	5.438	4.006	20.788	19.698	19.749	26.082	21.299
YGL017W	11.047	11.161	13.801	11.356	9.156	9.833	8.918	9.182	12.474	23.003	18.032	16.94	11.737	8.614	10.284	9.082	13.327	6.755	10.795	31.718	26.125	8.342	14.594
YGL018C	15.84	11.906	28.311	26.895	26.963	19.653	13.552	22.109	46.37	34.337	47.057	49.614	34.921	35.73	34.324	36.32	25.066	18.716	21.504	54.938	35.301	16.395	27.554
YGL019W	64.221	78.848	65.431	62.027	56.918	54.917	73.186	61.573	88.949	98.183	77.47	90.267	71.169	58.558	76.795	63.297	52.614	36.975	69.873	85.499	104.178	61.262	70.78
YGL020C	64.578	39.689	62.473	68.709	72.9	62.699	58.716	60.665	93.569	66.945	76.775	70.815	73.343	68.674	67.614	65.544	35.64	39.218	74.195	78.8	95.509	67.803	51.668
YGL021W	16.31	16.694	29.504	24.807	19.277	23.068	17.751	15.19	5.868	13.184	5.743	6.711	5.713	5.893	7.391	4.968	7.445	4.993	19.862	49.858	47.38	16.546	20.001
YGL022W	117.367	101.75	85.584	89.099	95.617	83.738	70.903	70.711	92.586	99.937	78.675	73.55	83.973	59.189	75.454	65.233	54.059	32.126	92.828	43.292	56.632	70.429	37.829
YGL023C	17.274	29.69	25.484	24.584	20.794	20.954	23.084	23.327	39.384	52.757	55.691	39.442	32.318	33.768	39.121	39.75	19.87	13.188	22.501	33.7	21.868	28.881	25.505
YGL025C	15.208	11.704	26.266	20.7	19.534	20.111	16.909	17.641	32.458	31.192	36.498	31.703	32.015	25.016	27.254	24.232	17.723	13.7	14.969	115.673	33.397	24.404	22.788
YGL026C	301.806	220.686	199.743	264.359	246.558	259.671	282.175	284.878	316.862	295.354	205.947	203.049	242.35	228.483	306.704	287.766	143.125	63.616	323.734	258.324	374.808	272.15	229.324
YGL027C	55.576	31.369	47.096	56.626	43.276	49.963	44.101	42.934	56.858	63.845	50.511	46.804	52.067	47.864	54.407	52.567	29.676	21.839	51.368	28.618	49.086	42.988	29.156
YGL028C	104.686	73.758	87.704	93.097	74.456	79.413	117.505	118.765	74.784	55.392	88.687	78.611	54.865	72.898	80.406	116.524	17.902	3.342	108.92	127.381	134.946	87.817	85.01
YGL029W	78.939	395.098	101.725	81.827	59.688	76.052	196.451	184.728	17.19	42.208	8.801	4.547	11.044	15.12	59.137	89.016	9.757	2.59	82.629	3.96	16.778	91.061	78.9
YGL030W	4293.136	4441.598	6034.407	5242.289	5796.298	4921.423	5360.76	5453.032	931.121	831.415	535.194	617.927	903.618	561.024	905.753	1219.467	381.07	282.24	4990.394	762.136	1499.999	6084.822	5508.349
YGL032C	44.165	6.006	52.364	20.584	33.783	20.088	12.269	59.521	6.318	7.521	18.819	34.64	11.46	5.705	4.722	27.291	0	0	207.241	349.294	88.252	31.121	46.569
YGL033W	1.37	2.454	1.372	1.636	1.315	0.586	1.186	0.619	1.721	2.732	3.204	2.98	2.554	2.137	1.179	3.431	0.474	2.829	2.566	4.325	1.173	0	2.154
YGL035C	25.214	31.323	44.35	34.692	35.333	30.682	26.238	24.803	69.094	66.828	97.195	86.213	72.446	71.332	67.5	55.353	37.278	23.351	43.817	276.024	147.065	41.897	36.255
YGL036W	8.303	7.865	12.747	9.306	7.373	8.321	6.318	6.658	21.058	30.484	40.705	37.346	23.452	17.877	10.723	12.076	18.43	19.298	8.733	39.206	24.16	7.763	10.575
YGL037C	100.412	39.326	206.209	267.53	171.657	190.472	74.45	59.233	3933.353	2028.835	3384.86	3794.437	3625.105	2895.705	2226.072	2018.359	4124.207	3799.526	338.511	1890.255	2128.932	126.12	231.452
YGL038C	20.665	18.701	32.341	24.612	26.324	27.596	16.674	22.97	119.647	64.288	64.919	55.213	72.641	54.429	46.804	52.68	16.135	16.994	29.985	59.328	71.101	23.972	16.524
YGL039W	66.034	555.912	84.404	203.337	99.18	94.548	105.758	52.483	369.593	404.193	110.805	95.351	167.785	166.606	277.088	93.341	59.614	34.891	29.908	67.639	40.818	94.11	80.8
YGL040C	111.237	125.105	117.327	133.087	111.183	115.757	107.947	111.411	238.259	243.409	204.518	215.638	186.668	211.379	205.347	188.262	76.115	48.767	107.205	66.147	181.063	110.725	151.702
YGL041C-B	0	0	0	0	0	0	0	0	1.135	0	0	0	2.058	0	0	0	0	0	0	0	2.127	0	0
YGL041W-A	36.446	37.778	53.39	50.483	33.611	37.715	36.099	35.726	81.286	68.711	103.58	108.13	66.469	66.329	56.933	65.083	48.432	70.927	44.865	218.293	78.822	31.194	57.246
YGL043W	87.482	55.18	107.644	109.476	105.85	90.44	124.967	115.003	117.679	120.37	104.347	93.482	94.072	96.102	133.037	126.306	81.758	37.757	104.606	97.879	110.155	140.015	125.698
YGL044C	32.412	34.865	34.449	43.567	31.853	35.252	38.649	39	64.182	58.214	64.866	60.669	50.543	65.502	65.352	62.567	27.035	18.948	45.181	87.562	84.57	31.766	34.796
YGL045W	2.884	6.12	5.508	6.256	3.192	3.771	2.335	3.216	9.671	16.671	20.185	17.013	14.973	11.015	7.344	8.838	14.732	18.491	5.254	24.182	14.545	5.136	3.958
YGL047W	19.161	17.415	24.01	27.081	18.66	17.105	14.027	11.565	124.906	111.468	133.394	134.225	98.349	70.083	62.761	65.441	75.062	63.576	26.912	90.034	88.772	16.198	26.046
YGL048C	129.379	188.53	151.705	148.332	127.549	144.493	136.782	131.233	358.051	454.533	430.984	387.519	325.047	388.847	399.798	449.06	264.212	138.326	157.897	217.995	331.062	168.913	160.084
YGL049C	47.502	44.313	44.268	49.403	48.976	51.733	58.405	56.71	69.689	57.202	60.894	57.765	56.52	60.137	64.341	62.446	29.213	20.219	54.825	88.599	79.877	56.85	35.304
YGL050W	23.242	22.509	31.794	25.716	23.387	25.748	21.216	21.776	22.177	27.903	25.915	21.534	15.145	20.735	23.24	22.173	18.561	8.964	25.819	43.277	25.424	24.47	31.535
YGL054C	279.841	192.638	306.329	316.369	273.817	305.834	265.364	271.731	345.556	203.624	271.385	291.923	286.73	257.897	228.013	236.761	277.928	263.266	329.446	591.405	444.878	294.767	312.296
YGL055W	365.174	1298.358	317.847	684.246	408.356	448.131	645.272	420.827	621.92	855.273	358.321	329.46	522.691	717.007	1275.492	696.672	45.763	91.755	317.746	459.349	148.174	694.258	239.633
YGL056C	37.79	54.092	39.729	41.989	35.379	34.885	38.752	40.923	54.266	49.038	39.124	38.684	39.605	34.993	58.708	57.477	29.588	10.1	42.613	59.656	55.901	39.684	41.56
YGL057C	11.358	9.669	25.939	18.963	14.504	12.474	11.894	13.167	27.615	31.212	37.871	29.939	32.873	27.096	23.99	23.433	17.54	19.172	14.694	72.934	26.106	13.875	18.484
YGL058W	76.677	81.099	83.165	81.91	70.523	81.152	87.835	97.633	151.061	110.88	99.438	102.758	94.601	103.838	124.143	138.452	183.731	151.212	86.769	79.544	136.906	94.639	107.99
YGL059W	2.397	3.937	7.921	7.667	4.793	5.301	1.887	3.033	13.211	15.537	22.009	15.971	12.417	9.605	6.332	7.318	6.631	8.912	4.192	130.948	31.299	1.712	3.246
YGL060W	13.471	20.497	18.993	14.02	17.41	13.402	10.06	13.018	30.846	30.622	30.634	28.246	21.895	17.614	18.661	19.232	9.993	5.969	15.624	38.501	24.262	15.051	14.363
YGL061C	20.49	16.823	25.387	28.175	19.459	18.452	26.81	26.149	27.35	16.599	29.353	25.535	19.632	21.975	27.257	30.606	14.61	6.347	23.349	42.858	18.911	25.605	28.641
YGL063W	1.911	2.431	1.956	2.638	2.084	1.278	0.705	1.471	2.882	5.276	1.523	2.509	2.867	2.655	2.039	1.784	1.407	1.345	2.237	5.141	4.007	1.938	1.28
YGL064C	9.722	11.489	12.183	10.82	11.312	10.534	11.95	14.283	17.935	19.442	19.338	15.836	12.604	13.421	18.352	21.762	6.831	5.369	8.442	15.433	7.568	7.179	8.541
YGL065C	28.416	24.763	34.62	36.161	31.671	32.581	25.742	24.486	61.236	36.979	50.408	51.456	48.279	37.605	37.57	40.048	22.414	20.988	29.687	63.805	50.251	25.859	30.821
YGL066W	12.743	12.614	20.004	18.389	17.668	15.319	15.863	15.706	26.186	32.031	33.658	25.528	23.157	22.405	24.657	25.72	12.933	13.269	17.862	55.856	32.4	18.855	14.764
YGL067W	31.37	24.273	42.422	32.531	31.885	33.68	24.979	30.865	51.067	58.846	55.765	57.107	51.499	35.808	40.924	47.318	39.728	23.247	32.02	38.996	38.479	20.096	44.938
YGL068W	115.703	94.432	140.971	141.238	124.299	146.04	162.336	170.077	253.629	221.252	234.253	238.273	222.636	245.249	276.905	267.084	97.589	50.568	124.653	99.858	152.12	110.902	172.328
YGL070C	123.433	140.967	152.254	125.494	113.77	110.221	120.646	118.835	120.799	114.63	114.73	100.592	118.136	69.131	97.163	102.709	47.697	12.663	130.559	160.682	171.254	131.356	160.708
YGL071W	12.922	19.469	25.278	26.093	20.392	19.977	20.989	17.448	27.784	41.051	31.578	24.171	19.83	20.688	29.275	21.899	19.654	12.776	11.902	17.684	13.329	21.093	22.495
YGL073W	10.748	11.481	20.42	17.86	14.224	15.43	12.565	13.494	45.565	58.196	73.719	58.816	47.728	42.41	44.09	45.078	26.115	28.221	12.778	44.662	23.294	13.893	14.578
YGL075C	4.819	6.48	12.572	8.196	8.307	6.303	6.893	7.704	8.321	13.524	13.959	9.695	7.708	8.134	6.733	8.251	4.288	1.601	6.873	23.983	9.124	5.904	7.449
YGL077C	64.439	53.825	50.104	48.241	52.617	50.182	46.112	42.453	28.339	51.134	32.835	25.073	28.976	25.64	36.119	25.194	52.297	32.951	145.432	85.377	123.73	56.228	39.737
YGL078C	146.35	119.437	87.51	86.669	102.252	101.991	153.406	171.758	11.646	18.434	5.635	4.57	7.312	6.595	31.961	37.071	2.905	0.463	117.756	4.245	4.556	110.688	119.041
YGL079W	14.034	20.335	22.533	21.97	17.289	12.463	17.946	16.99	37.371	28.049	35.323	32.208	28.833	31.077	31.283	29.514	19.452	13.454	15.532	58.902	26.301	16.212	17.851
YGL080W	68.654	63.87	104.274	105.613	98.148	96.776	75.763	84.433	162.981	129.095	164.582	197.46	170.269	145.698	141.406	154.515	161.538	182.524	96.665	622.075	203.009	69.678	104.757
YGL081W	1.413	5.706	1.914	1.63	1.223	1.772	1.128	0.863	7.203	6.67	7.152	6.756	4.751	8.538	3.963	3.89	2.313	3.947	3.7	23.534	20.248	1.365	1.67
YGL082W	32.703	24.482	40.103	37.921	32.159	37.794	30.84	34.764	85.274	65.641	82.799	90.328	71.869	67.312	56.947	57.6	53.154	38.427	45.687	161.308	72.221	30.403	45.187
YGL083W	11.167	10.211	14.624	14.643	12.194	11.791	10.346	11.491	14.281	16.517	14.831	12.98	14.613	11.822	14.524	11.935	6.405	4.267	10.9	23.17	15.935	8.48	11.827
YGL084C	37.941	38.576	39.748	44.872	40.666	40.061	32.269	25.748	109.539	77.137	76.157	78.196	76.522	66.347	76.685	60.733	29.719	16.569	41.119	45.727	47.387	32.986	20.937
YGL085W	3.709	6.793	6.834	7.76	4.185	4.219	4.297	4.933	9.484	14.177	13.835	9.279	11.076	8.711	7.299	11.397	5.113	4.229	4.404	24.422	11.929	7.04	4.174
YGL086W	14.093	30.006	26.808	24.599	20.186	19.974	20.68	21.211	29.571	31.361	36.873	30.456	30.833	32.367	29.506	32.747	11.803	16.477	13.892	30.277	17.486	15.704	20.643
YGL087C	85.06	62.322	118.02	122.857	106.383	113.862	100.985	93.189	344.735	233.625	238.84	311.239	295.494	281.51	292.092	219.981	208.714	180.038	122.415	710.722	262.784	111.061	130.156
YGL089C	0.136	0	0.628	0	0	0	0	0	0.358	1.563	0	1.137	0	0	0.245	0	0	1.295	0.392	0	0.671	0	0
YGL090W	1.415	2.957	3.966	4.222	1.81	2.22	1.447	1.278	6.462	11.283	10.587	7.821	6.74	4.614	3.321	5.093	4.891	4.09	2.738	8.933	5.298	0.337	4.078
YGL091C	26.599	59.962	37.796	38.534	21.862	28.652	24.441	30.159	110.435	120.514	154.182	129.947	79.551	82.279	79.014	100.043	66.861	40.707	29.725	113.312	99.097	30.099	39.965
YGL092W	39.532	41.273	42.722	40.803	34.947	36.146	41.633	43.85	31.624	38.084	32.582	29.17	28.416	26.341	34.696	34.616	17.238	12.551	39.818	68.237	44.195	43.804	34.436
YGL093W	8.593	12.061	15.805	12.985	11.034	10.95	10.418	10.192	24.168	32.532	41.645	31.713	25.3	24.81	21.763	26.528	17.404	15.915	12.302	31.199	28.73	9.911	10.805
YGL094C	7.275	8.188	7.373	7.665	6.579	7.245	5.516	6.401	14.209	14.177	17.163	16.064	13.887	9.686	10.869	10.812	5.794	7.341	7.071	13.147	12.118	5.439	7.099
YGL095C	15.822	16.576	16.474	20.832	15.823	15.481	13.268	12.632	45.768	46.297	45.567	45.38	37.014	30.134	31.715	27.865	26.872	18.97	17.712	53.543	53.47	15.618	19.578
YGL096W	0.638	2.021	6.778	6.157	3.248	3.38	1.687	3.874	12.112	17.435	41.956	29.654	21.736	26.879	8.917	16.602	7.021	16.309	2.254	74.802	35.494	0.537	1.971
YGL097W	96.114	66.806	64.639	79.557	80.479	73.961	78.236	84.126	63.397	66.441	39.608	38.123	46.734	37.021	52.815	51.617	35.72	19.696	81.539	34.357	74.317	67.23	94.003
YGL098W	13.769	11.578	27.697	30.645	18.195	16.966	16.786	16.818	47.98	50.265	55.932	57.878	33.474	42.163	27.413	28.6	28.155	34.17	19.533	91.42	78.846	8.615	26.426
YGL099W	82.571	68.886	64.229	69.519	64.836	64.605	94.958	104.762	25.988	34.055	16.083	13.449	18.65	17.451	35.684	36.118	9.541	3.924	66.835	19.139	26.722	89.161	69.877
YGL100W	49.633	59.615	43.981	54.042	48.6	44.957	30.677	39.453	59.19	76.169	57.664	54.921	56.471	39.15	43.545	46.659	36.916	20.08	48.677	69.07	58.896	38.021	65.528
YGL101W	49.401	33.251	68.711	49.538	49.107	56.467	63.842	74.786	40.735	46.516	37.663	35.738	28.371	31.16	34.152	33.454	15.609	9.946	66.908	140.645	83.42	78.808	72.051
YGL103W	5397.114	3307.277	6404.067	5987.246	6584.23	6942.055	7186.467	7343.289	1493.158	1431.298	811.968	716.921	1152.507	961.034	1518.601	1817.996	489.19	242.097	5621.694	1045.427	2626.423	6889.756	6587.357
YGL104C	4.452	6.151	8.13	8.991	5.137	7.867	4.197	1.861	42.561	38.063	56.691	56.57	43.184	37.725	25.985	22.64	20.531	25.529	8.476	38.263	34.497	4.039	4.447
YGL105W	606.157	505.843	605.805	573.818	605.452	606.43	650.588	617.942	658.954	483.318	454.63	419.785	506.425	492.673	526.864	509.159	395.744	282.816	658.413	422.775	663.043	739.141	630.218
YGL106W	263.598	361.613	256.213	302.213	253.653	292.125	339.931	398.545	361.415	326.562	321.851	348.972	298.259	374.932	367.854	468.715	241.948	177.13	354.588	391.318	408.984	326.427	317.024
YGL107C	17.646	22.47	21.17	19.636	18.343	17	17.946	20.359	29.009	40.868	37.509	30.939	22.551	22.235	25.239	26.415	15.333	5.736	18.629	22.347	19.462	15.994	21.917
YGL108C	15.764	27.444	34.768	33.096	17.97	24.77	28.133	27.222	47.823	52.188	62.107	57.855	43.374	55.763	45.954	60.223	30.896	42.184	26.147	62.879	55.191	15.802	24.984
YGL110C	13.393	14.427	12.374	13.788	10.33	12.462	11.226	10.789	24.622	24.553	24.668	23.246	15.208	17.264	16.87	15.226	15.903	14.009	15.492	61.318	27.743	11.944	9.255
YGL111W	56.449	72.803	60.588	58.789	52.072	46.717	65.31	64.364	23.183	34.368	15.527	13.654	14.943	14.303	29.171	31.111	6.4	3.164	48.786	20.153	15.437	53.482	58.667
YGL112C	37.389	38.013	39.722	39.454	37.183	35.111	35.294	34.304	46.283	49.303	46.528	33.794	36.149	33.532	38.25	38.141	23.777	11.034	38.116	50.246	47.927	33.281	42.804
YGL113W	2.802	4.648	3.897	3.983	2.352	2.591	2.791	2.774	4.445	9.055	5.361	5.331	5.107	3.373	3.52	4.197	2.841	3.394	2.538	8.739	3.239	2.471	2.947
YGL114W	12.631	12.324	13.431	13.741	10.094	11.098	10.745	10.793	70.347	42.538	68.226	71.44	45.632	35.121	24.628	33.053	10.977	7.213	12.639	25.813	24.717	10.391	7.767
YGL115W	57.561	60.638	69.936	69.762	54.952	56.865	45.264	48.361	130.173	109.763	139.618	124.209	103.023	74.427	77.606	65.271	51.185	33.711	68.148	176.185	107.649	62.799	65.169
YGL116W	15.021	11.935	22.013	14.772	14.387	13.239	13.821	17.328	5.109	11.388	8.125	6.125	6.605	5.669	9.161	8.244	5.429	2.359	17.829	43.572	19.249	12.913	16.963
YGL117W	4.212	9.172	15.852	16.323	10.205	7.754	12.275	16.013	7.961	16.493	15.752	13.922	11.015	5.53	7.582	14.674	15.931	5.368	11.509	464.809	166.641	7.312	6.193
YGL119W	13.899	11.559	19.85	16.607	14.824	14.561	17.035	15.369	25.992	30.119	33.886	28.496	25.032	24.29	33.186	31.526	17.034	11.387	16.042	25.927	19.709	15.637	10.762
YGL120C	107.603	94.74	79.351	80.731	86.068	82.637	104.724	115.592	16.197	26.489	9.102	6.173	7.287	8.862	30.365	37.998	8.409	1.855	81.637	9.688	8.569	94.055	101.604
YGL121C	1.914	5.258	7.64	10.512	2.347	1.675	3.234	2.917	87.82	57.062	116.009	129.814	91.81	88.655	82.22	62.792	49.719	32.73	10.263	88.956	51.506	4.192	4.615
YGL122C	82.485	63.308	71.958	64.238	71.223	71.088	82.606	86.362	106.743	78.723	83.133	76.57	74.329	69.478	93.005	107.093	62.889	23.738	97.139	139.528	68.428	106.785	86.383
YGL123W	4584.652	3201.417	3871.634	3249.298	4279.398	3862.687	4086.161	4144.343	851.804	751.18	366.637	346.656	530.027	359.842	680.682	756.643	208.805	98.861	4012.99	505.103	1191.73	5050.196	4603.024
YGL124C	5.237	7.515	8.55	7.205	7.764	8.015	5.766	5.929	12.37	16.58	22.705	19.634	15.735	13.257	9.812	14.728	7.148	6.497	5.893	38.88	15.101	4.493	8.403
YGL125W	9.875	9.254	12.025	11.481	12.161	12.159	7.013	7.263	23.284	21.486	29.675	28.618	23.175	15.315	10.611	8.137	18.082	13.801	72.935	626.875	111.105	8.761	14.723
YGL126W	13.992	19.831	16.942	17.666	15.683	13.198	9.521	10.216	29.53	43.361	38.467	39.417	33.253	22.764	21.594	23.106	21.323	21.882	16.984	5.992	14.553	11.293	9.257
