#rpkm values of gene expression		
#data file name	unstressed_noCHX	unstressed_1/64x_CHX	unstressed_1/16x_CHX	unstressed_1/4x_CHX	unstressed_1x_CHX	unstressed_8x_CHX	unstressed_100x_CHX_rep1	unstressed_100x_CHX_rep2	oxidative_noCHX	oxidative_1/64x_CHX	oxidative_1/16x_CHX	oxidative_1/4x_CHX	oxidative_1x_CHX	oxidative_8x_CHX	oxidative_100x_CHX_rep1	oxidative_100x_CHX_rep2	heatshock_noCHX	heatshock_1x_CHX	complete_SD_media	SD_no_aminoacids	SD_no_aminoacids_plus_His_Met_Leu	edeine_noCHX	aurin_noCHX 
#gene id/sample#	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23
orf	unstressed_noCHX	unstressed_1/64x_CHX	unstressed_1/16x_CHX	unstressed_1/4x_CHX	unstressed_1x_CHX	unstressed_8x_CHX	unstressed_100x_CHX_rep1	unstressed_100x_CHX_rep2	oxidative_noCHX	oxidative_1/64x_CHX	oxidative_1/16x_CHX	oxidative_1/4x_CHX	oxidative_1x_CHX	oxidative_8x_CHX	oxidative_100x_CHX_rep1	oxidative_100x_CHX_rep2	heatshock_noCHX	heatshock_1x_CHX	complete_SD_media	SD_no_aminoacids	SD_no_aminoacids_plus_His_Met_Leu	edeine_noCHX	aurin_noCHX
YAL028W	1.037	2.318	3.332	2.743	2.04	1.424	1.048	1.052	6.904	5.806	11.934	10.858	7.698	6.686	3.863	2.952	4.602	5.727	2.632	34.321	10.801	0.792	1.647
YAL029C	12.495	14.263	15.42	15.187	13.143	12.485	9.986	10.721	9.602	18.671	13.274	10.599	9.501	8.048	10.063	10.151	6.342	4.578	10.619	7.119	8.22	9.37	11.953
YAL030W	42.209	31.022	77.372	77.528	70.112	58.828	67.208	55.446	145.733	158.629	183.778	214.242	175.561	197.078	161.085	173.835	136.949	134.108	64.877	295.237	259.891	54.1	58.435
YAL031C	4.944	10.828	7.943	9.021	6.345	7.33	4.817	5.052	14.583	18.457	17.23	16.094	13.931	10.608	8.012	8.28	10.449	8.114	7.549	36.499	13.583	4.496	5.215
YAL032C	12.412	12.312	16.356	16.23	14.46	13.802	16.539	18.557	21.192	20.162	23.555	20.125	16.757	17.656	18.616	20.442	17.546	16.049	12.577	73.107	26.985	16.61	13.025
YAL033W	33.393	72.353	49.701	47.664	40.325	38.197	32.454	34.785	34.818	38.971	42.052	37.906	36.438	19.123	26.304	27.33	16.891	9.686	39.537	48.128	58.137	25.12	54.294
YAL034C	0.251	0.431	3.181	4.434	0.809	0.721	0.512	0.457	34.393	41.402	136.814	123.317	55.654	60.937	14.128	13.491	52.431	121.101	0.992	134.979	31.839	0.688	0.505
YAL034W-A	6.659	17.268	13.083	10.595	8.052	7.487	8.092	6.774	13.945	26.697	12.024	13.202	10.429	13.367	9.722	11.178	4.073	6.193	10.165	20.29	18.567	6.119	5.989
YAL035W	241.42	313.866	216.922	223.147	221.793	253.838	317.979	277.847	123.297	133.56	113.718	104.171	108.655	122.827	177.701	178.976	49.105	29.274	222.377	51.915	115.04	263.989	177.688
YAL036C	140.232	203.814	111.188	119.768	134.396	125.345	147.296	161.497	40.753	71.644	25.018	19.39	28.081	26.171	63.322	78.06	15.527	6.408	126.956	13.921	22.718	131.777	123.842
YAL037W	0.56	0	1.408	0.799	0.75	0.334	0.738	0.847	2.274	4.672	5.48	3.398	1.456	2.492	1.742	3.179	3.24	2.419	1.317	5.178	3.259	0	0.614
YAL038W	12378.814	7678.369	7875.249	8417.303	11097.304	9463.881	9151.573	10317.611	6452.415	4701.583	2085.362	2320.049	3675.941	3007.382	4963.499	2774.129	4023.033	2122.956	9945.858	1204.478	4920.834	10374.346	13549.987
YAL039C	29.089	24.277	31.169	34.075	27.126	34.469	31.54	39.881	117.139	118.709	142.63	141.918	137.163	128.488	119.891	152.017	49.395	31.185	41.197	56.477	83.528	23.225	37.142
YAL040C	8.184	11.989	14.776	11.044	9.474	9.238	6.242	6.576	10.778	18.017	17.258	13.831	12.998	9.112	6.795	7.648	5.553	5.805	11.221	15.531	10.635	7.886	10.876
YAL041W	15.885	18.78	25.593	22.311	17.714	19.713	16.484	13.694	35.459	36.194	39.282	35.965	28.071	24.673	26.364	24.023	25.563	21.005	17.674	55.351	30.074	23.413	20.87
YAL042W	108.726	139.847	93.219	107.454	99.396	100.234	97.249	95.09	101.244	143.254	90.564	86.86	79.027	83.337	104.055	91.394	61.098	27.892	104.248	28.579	72.569	77.291	87.365
YAL043C	18.802	33.587	28.817	24.855	23.894	23.552	20.409	19.866	35.665	38.419	40.15	35.024	31.779	25.38	29.438	26.759	15.91	9.353	21.073	42.897	34.863	27.994	20.55
YAL044C	276.349	153.822	245.921	335.807	251.692	249.558	258.059	266.303	220.077	221	219.045	267.142	188.641	196.817	268.143	225.492	702.8	262.28	287.78	516.982	1100.902	204.385	292.74
YAL044W-A	65.25	57.067	65.917	76.667	61.711	69.18	66.858	74.834	83.274	89.992	96.859	91.111	83.593	74.793	93.895	96.414	36.711	24.853	80.891	98.342	63.632	79.196	78.545
YAL046C	43.251	32.576	46.267	46.521	56.975	47.612	53.795	68.426	35.55	52.792	72.803	86.092	61.826	59.616	56.5	73.344	43.268	21.207	62.918	194.527	105.078	44.302	62.239
YAL047C	5.513	6.681	9.056	8.587	6.786	7.782	5.907	6.571	8.04	8.367	10.686	8.113	8.789	8.463	8.573	9.05	6.447	8.665	7.161	18.841	6.984	7.102	6.598
YAL048C	5.372	9.907	7.956	7.744	7.193	6.914	4.329	6.351	11.668	16.541	14.806	14.325	11.939	9.844	10.762	9.705	8.453	4.869	8.342	27.844	10.839	4.988	7.781
YAL049C	51.799	35.341	66.213	50.909	56.388	58.37	49.415	62.773	116.376	85.948	128.794	125.243	112.213	133.561	109.942	127.293	99.193	83.432	86.604	116.177	158.055	77.787	72.613
