orf	norm	dens	count	len	total
15S_rRNA	679.118	2140.466	3581	1673	3151832
21S_rRNA	1691.308	5330.719	23791	4463	3151832
HRA1	0.000	0.000	0	588	3151832
LSR1	10.585	33.361	40	1199	3151832
NME1	1615.143	5090.659	1853	364	3151832
Q0045_3_utr	0.000	0.000	0	95	3151832
Q0080	0.000	0.000	0	149	3151832
Q0085	0.000	0.000	0	782	3151832
Q0085_3_utr	0.000	0.000	0	214	3151832
Q0130	0.000	0.000	0	233	3151832
Q0130_3_utr	0.000	0.000	0	47	3151832
Q0130_5_utr	0.000	0.000	0	32	3151832
Q0250	1.674	5.277	4	758	3151832
Q0275	0.391	1.232	1	812	3151832
Q0275_3_utr	0.000	0.000	0	51	3151832
Q0275_5_utr	0.000	0.000	0	50	3151832
R0020C	74.238	233.986	263	1124	3151832
R0030W	31.843	100.365	55	548	3151832
R0040C	142.472	449.048	401	893	3151832
RNA170	0.000	0.000	0	193	3151832
RPR1	563.508	1776.081	698	393	3151832
SCR1	77.866	245.421	134	546	3151832
TLC1	5.507	17.358	23	1325	3151832
YAL001C	9.612	30.294	105	3466	3151832
YAL001C_3_utr	0.000	0.000	0	50	3151832
YAL001C_intron	3.869	12.195	1	82	3151832
YAL002W	3.233	10.191	39	3827	3151832
YAL003W	4720.791	14879.139	8987	604	3151832
YAL003W_3_utr	19.425	61.224	12	196	3151832
YAL005C_3_utr	5.616	17.699	2	113	3151832
YAL005C_5_utr	198.297	625.000	30	48	3151832
YAL007C	153.757	484.615	315	650	3151832
YAL007C_3_utr	0.000	0.000	0	112	3151832
YAL007C_5_utr	12.203	38.462	2	52	3151832
YAL008W	33.899	106.845	64	599	3151832
YAL008W_3_utr	2.644	8.333	1	120	3151832
YAL008W_5_utr	0.000	0.000	0	55	3151832
YAL009W	8.114	25.575	20	782	3151832
YAL009W_3_utr	6.283	19.802	2	101	3151832
YAL009W_5_utr	0.000	0.000	0	10	3151832
YAL010C	7.697	24.259	36	1484	3151832
YAL010C_3_utr	11.198	35.294	3	85	3151832
YAL011W	6.919	21.809	41	1880	3151832
YAL011W_3_utr	0.000	0.000	0	85	3151832
YAL012W	556.235	1753.159	2081	1187	3151832
YAL012W_3_utr	14.587	45.977	4	87	3151832
YAL012W_5_utr	25.382	80.000	4	50	3151832
YAL013W	14.296	45.059	57	1265	3151832
YAL013W_3_utr	0.000	0.000	0	28	3151832
YAL013W_5_utr	0.000	0.000	0	17	3151832
YAL014C	17.718	55.844	43	770	3151832
YAL014C_3_utr	0.000	0.000	0	124	3151832
YAL014C_5_utr	56.656	178.571	5	28	3151832
YAL015C	7.391	23.295	28	1202	3151832
YAL015C_3_utr	43.979	138.614	14	101	3151832
YAL016W	102.990	324.607	620	1910	3151832
YAL016W_3_utr	11.331	35.714	2	56	3151832
YAL017W	8.725	27.498	112	4073	3151832
YAL017W_3_utr	0.000	0.000	0	175	3151832
YAL017W_5_utr	21.632	68.182	24	352	3151832
YAL018C	0.000	0.000	0	980	3151832
YAL019W	22.222	70.041	238	3398	3151832
YAL019W_3_utr	0.000	0.000	0	48	3151832
YAL019W_5_utr	3.605	11.364	1	88	3151832
YAL020C	8.216	25.896	26	1004	3151832
YAL020C_3_utr	0.000	0.000	0	37	3151832
YAL021C	42.749	134.738	339	2516	3151832
YAL021C_3_utr	0.000	0.000	0	215	3151832
YAL022C	24.672	77.763	121	1556	3151832
YAL022C_3_utr	0.000	0.000	0	25	3151832
YAL022C_5_utr	0.000	0.000	0	18	3151832
YAL023C	106.500	335.670	766	2282	3151832
YAL023C_3_utr	0.000	0.000	0	96	3151832
YAL023C_5_utr	0.000	0.000	0	69	3151832
YAL024C	3.018	9.513	41	4310	3151832
YAL024C_3_utr	0.000	0.000	0	113	3151832
YAL025C	130.623	411.701	380	923	3151832
YAL025C_3_utr	0.000	0.000	0	151	3151832
YAL025C_5_utr	0.000	0.000	0	8	3151832
YAL026C	15.201	47.912	195	4070	3151832
YAL026C_3_utr	2.808	8.850	1	113	3151832
YAL026C_5_utr	0.000	0.000	0	71	3151832
YAL027W	12.482	39.340	31	788	3151832
YAL027W_3_utr	0.000	0.000	0	93	3151832
YAL028W	2.995	9.440	15	1589	3151832
YAL028W_3_utr	0.000	0.000	0	44	3151832
YAL029C	13.214	41.648	184	4418	3151832
YAL029C_3_utr	0.000	0.000	0	21	3151832
YAL030W	78.142	246.291	83	337	3151832
YAL030W_3_utr	0.000	0.000	0	91	3151832
YAL030W_5_utr	0.000	0.000	0	7	3151832
YAL031C	7.498	23.632	54	2285	3151832
YAL032C	16.392	51.664	59	1142	3151832
YAL032C_3_utr	0.000	0.000	0	20	3151832
YAL032C_5_utr	0.000	0.000	0	19	3151832
YAL033W	68.420	215.649	113	524	3151832
YAL033W_3_utr	10.576	33.333	2	60	3151832
YAL034C	2.295	7.235	9	1244	3151832
YAL034C_3_utr	0.000	0.000	0	110	3151832
YAL034W-A	12.371	38.991	34	872	3151832
YAL034W-A_3_utr	0.000	0.000	0	76	3151832
YAL035W	400.731	1263.036	3803	3011	3151832
YAL035W_3_utr	0.000	0.000	0	90	3151832
YAL035W_5_utr	0.000	0.000	0	5	3151832
YAL036C	133.815	421.763	469	1112	3151832
YAL036C_3_utr	0.000	0.000	0	153	3151832
YAL036C_5_utr	0.000	0.000	0	4	3151832
YAL037C-A	0.000	0.000	0	95	3151832
YAL037C-A_3_utr	0.000	0.000	0	27	3151832
YAL037W	1.181	3.722	3	806	3151832
YAL038W	8296.604	26149.502	39355	1505	3151832
YAL038W_3_utr	41.747	131.579	20	152	3151832
YAL038W_5_utr	73.217	230.769	3	13	3151832
YAL039C	19.146	60.345	49	812	3151832
YAL039C_3_utr	0.000	0.000	0	23	3151832
YAL039C_5_utr	0.000	0.000	0	34	3151832
YAL040C	6.000	18.911	33	1745	3151832
YAL040C_5_utr	1.047	3.300	1	303	3151832
YAL041W	18.169	57.265	147	2567	3151832
YAL041W_3_utr	0.000	0.000	0	44	3151832
YAL041W_5_utr	0.000	0.000	0	72	3151832
YAL042W	94.167	296.800	371	1250	3151832
YAL042W_3_utr	0.000	0.000	0	70	3151832
YAL043C	18.418	58.051	137	2360	3151832
YAL043C_3_utr	7.379	23.256	1	43	3151832
YAL043C_5_utr	0.000	0.000	0	35	3151832
YAL044C	446.650	1407.767	725	515	3151832
YAL044C_3_utr	20.252	63.830	3	47	3151832
YAL044W-A	61.561	194.030	65	335	3151832
YAL044W-A_3_utr	0.000	0.000	0	99	3151832
YAL046C	75.121	236.769	85	359	3151832
YAL046C_3_utr	2.993	9.434	1	106	3151832
YAL046C_5_utr	0.000	0.000	0	31	3151832
YAL047C	10.514	33.137	62	1871	3151832
YAL047C_3_utr	0.000	0.000	0	40	3151832
YAL048C	5.099	16.072	32	1991	3151832
YAL048C_3_utr	0.000	0.000	0	65	3151832
YAL049C	67.896	213.997	159	743	3151832
YAL049C_3_utr	0.000	0.000	0	86	3151832
YAL049C_5_utr	0.000	0.000	0	33	3151832
YAL051W	10.589	33.376	105	3146	3151832
YAL051W_3_utr	0.000	0.000	0	137	3151832
YAL053W	26.822	84.537	199	2354	3151832
YAL053W_3_utr	0.000	0.000	0	39	3151832
YAL053W_5_utr	13.646	43.011	4	93	3151832
YAL054C	0.444	1.399	3	2144	3151832
YAL055W	18.047	56.881	31	545	3151832
YAL055W_3_utr	2.266	7.143	1	140	3151832
YAL056W	5.638	17.769	47	2645	3151832
YAL056W_3_utr	0.000	0.000	0	79	3151832
YAL056W_5_utr	0.000	0.000	0	30	3151832
YAL058W	10.079	31.767	48	1511	3151832
YAL058W_3_utr	0.000	0.000	0	41	3151832
YAL058W_5_utr	0.000	0.000	0	34	3151832
YAL059W	87.115	274.571	176	641	3151832
YAL059W_3_utr	0.000	0.000	0	87	3151832
YAL060W	49.342	155.517	179	1151	3151832
YAL060W_3_utr	9.152	28.846	3	104	3151832
YAL060W_5_utr	40.793	128.571	9	70	3151832
YAL061W	3.789	11.943	15	1256	3151832
YAL061W_3_utr	2.316	7.299	1	137	3151832
YAL061W_5_utr	9.022	28.436	6	211	3151832
YAL062W_3_utr	0.000	0.000	0	80	3151832
YAL067C	1.067	3.363	6	1784	3151832
YAR002C-A	218.546	688.822	456	662	3151832
YAR002C-A_3_utr	0.000	0.000	0	47	3151832
YAR002C-A_5_utr	0.000	0.000	0	26	3151832
YAR002W	54.183	170.777	277	1622	3151832
YAR002W_3_utr	3.689	11.628	1	86	3151832
YAR002W_5_utr	0.000	0.000	0	10	3151832
YAR003W	11.870	37.412	48	1283	3151832
YAR003W_3_utr	0.658	2.075	1	482	3151832
YAR003W_5_utr	0.000	0.000	0	13	3151832
YAR007C	84.584	266.595	498	1868	3151832
YAR007C_3_utr	0.000	0.000	0	38	3151832
YAR007C_5_utr	0.000	0.000	0	49	3151832
YAR008W	9.556	30.120	25	830	3151832
YAR008W_3_utr	0.000	0.000	0	86	3151832
YAR008W_5_utr	23.627	74.468	7	94	3151832
YAR014C	23.281	73.377	156	2126	3151832
YAR014C_3_utr	0.000	0.000	0	154	3151832
YAR014C_5_utr	4.700	14.815	2	135	3151832
YAR015W	364.025	1147.346	1059	923	3151832
YAR015W_3_utr	0.000	0.000	0	83	3151832
YAR015W_5_utr	17.626	55.556	1	18	3151832
YAR018C	13.079	41.221	54	1310	3151832
YAR018C_3_utr	0.000	0.000	0	30	3151832
YAR019C	1.843	5.808	17	2927	3151832
YAR019C_3_utr	0.000	0.000	0	60	3151832
YAR023C	1.171	3.690	2	542	3151832
YAR023C_3_utr	0.000	0.000	0	26	3151832
YAR023C_5_utr	5.056	15.936	4	251	3151832
YAR027W	48.262	152.113	108	710	3151832
