orf	norm	dens	count	len	total
YER001W	42.412	72.021	165	2291	1698134
YER001W_3_utr	0.000	0.000	0	277	1698134
YER001W_5_utr	3.799	6.452	1	155	1698134
YER002W	206.699	351.003	245	698	1698134
YER002W_3_utr	0.000	0.000	0	76	1698134
YER002W_5_utr	0.000	0.000	0	29	1698134
YER003C	280.332	476.041	606	1273	1698134
YER003C_3_utr	0.000	0.000	0	42	1698134
YER003C_5_utr	0.000	0.000	0	13	1698134
YER004W	93.647	159.026	111	698	1698134
YER004W_3_utr	2.594	4.405	1	227	1698134
YER004W_5_utr	0.000	0.000	0	139	1698134
YER005W	8.701	14.776	28	1895	1698134
YER005W_3_utr	0.000	0.000	0	77	1698134
YER006W	168.574	286.262	448	1565	1698134
YER006W_3_utr	12.018	20.408	1	49	1698134
YER006W_5_utr	0.000	0.000	0	6	1698134
YER007C-A	217.074	368.620	195	529	1698134
YER007C-A_3_utr	0.000	0.000	0	151	1698134
YER007C-A_5_utr	0.000	0.000	0	14	1698134
YER007C-A_intron	12.398	21.053	2	95	1698134
YER007W	9.821	16.677	26	1559	1698134
YER007W_3_utr	0.000	0.000	0	210	1698134
YER007W_5_utr	0.000	0.000	0	179	1698134
YER008C	15.702	26.663	107	4013	1698134
YER008C_3_utr	0.000	0.000	0	78	1698134
YER008C_5_utr	0.000	0.000	0	48	1698134
YER009W	1357.527	2305.263	876	380	1698134
YER009W_3_utr	0.000	0.000	0	151	1698134
YER010C	29.153	49.505	35	707	1698134
YER010C_3_utr	0.000	0.000	0	62	1698134
YER010C_5_utr	0.000	0.000	0	79	1698134
YER011W_3_utr	4.147	7.042	1	142	1698134
YER011W_5_utr	0.000	0.000	0	48	1698134
YER012W	189.740	322.204	193	599	1698134
YER012W_3_utr	0.000	0.000	0	118	1698134
YER012W_5_utr	18.996	32.258	1	31	1698134
YER013W	12.668	21.512	74	3440	1698134
YER013W_3_utr	0.000	0.000	0	63	1698134
YER014C-A_intron	0.000	0.000	0	500	1698134
YER014W	25.414	43.157	70	1622	1698134
YER014W_3_utr	0.000	0.000	0	93	1698134
YER014W_5_utr	0.000	0.000	0	18	1698134
YER015W	0.790	1.341	3	2237	1698134
YER015W_3_utr	0.000	0.000	0	239	1698134
YER016W	39.751	67.502	70	1037	1698134
YER016W_3_utr	0.000	0.000	0	108	1698134
YER016W_5_utr	0.000	0.000	0	27	1698134
YER017C	19.561	33.217	76	2288	1698134
YER017C_3_utr	0.000	0.000	0	123	1698134
YER018C	22.921	38.922	26	668	1698134
YER018C_3_utr	0.000	0.000	0	90	1698134
YER018C_5_utr	7.454	12.658	1	79	1698134
YER019C-A	615.151	1044.610	281	269	1698134
YER019C-A_3_utr	117.776	200.000	1	5	1698134
YER019C-A_5_utr	0.000	0.000	0	45	1698134
YER019W	13.533	22.981	33	1436	1698134
YER019W_3_utr	0.000	0.000	0	74	1698134
YER019W_5_utr	0.000	0.000	0	96	1698134
YER020W	19.165	32.544	44	1352	1698134
YER020W_3_utr	0.000	0.000	0	162	1698134
YER020W_5_utr	6.543	11.111	1	90	1698134
YER021W	108.498	184.244	290	1574	1698134
YER021W_3_utr	0.000	0.000	0	64	1698134
YER021W_5_utr	17.320	29.412	1	34	1698134
YER022W	23.373	39.690	82	2066	1698134
YER022W_3_utr	0.000	0.000	0	78	1698134
YER023W	320.712	544.612	470	863	1698134
YER023W_3_utr	0.000	0.000	0	56	1698134
