# Downloaded from http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM346118, 2/14/2009
orf	norm	dens	count	len	total
15S_rRNA	837.765	1215.780	2034	1673	1451219
21S_rRNA	611.877	887.968	3963	4463	1451219
HRA1	1.172	1.701	1	588	1451219
LSR1	743.673	1079.233	1294	1199	1451219
NME1	136.301	197.802	72	364	1451219
Q0045_3_utr	36.267	52.632	5	95	1451219
Q0080	9.249	13.423	2	149	1451219
Q0085	16.742	24.297	19	782	1451219
Q0085_3_utr	3.220	4.673	1	214	1451219
Q0130	479.100	695.279	162	233	1451219
Q0130_3_utr	865.010	1255.319	59	47	1451219
Q0130_5_utr	1141.282	1656.250	53	32	1451219
Q0250	54.544	79.156	60	758	1451219
Q0275	11.881	17.241	14	812	1451219
Q0275_3_utr	27.023	39.216	2	51	1451219
Q0275_5_utr	82.689	120.000	6	50	1451219
R0020C	1061.814	1540.925	1732	1124	1451219
R0030W	364.657	529.197	290	548	1451219
R0040C	731.516	1061.590	948	893	1451219
RNA170	3.570	5.181	1	193	1451219
RPR1	135.010	195.929	77	393	1451219
SCR1	1999.077	2901.099	1584	546	1451219
TLC1	130.014	188.679	250	1325	1451219
YAL001C	33.798	49.048	170	3466	1451219
YAL001C_3_utr	55.126	80.000	4	50	1451219
YAL001C_intron	0.000	0.000	0	82	1451219
YAL002W	9.363	13.588	52	3827	1451219
YAL003W	1607.463	2332.781	1409	604	1451219
YAL003W_3_utr	2355.514	3418.367	670	196	1451219
YAL005C_3_utr	329.293	477.876	54	113	1451219
YAL005C_5_utr	229.692	333.333	16	48	1451219
YAL007C	284.111	412.308	268	650	1451219
YAL007C_3_utr	412.215	598.214	67	112	1451219
YAL007C_5_utr	198.772	288.462	15	52	1451219
YAL008W	67.872	98.497	59	599	1451219
YAL008W_3_utr	126.331	183.333	22	120	1451219
YAL008W_5_utr	37.586	54.545	3	55	1451219
YAL009W	108.384	157.289	123	782	1451219
YAL009W_3_utr	115.983	168.317	17	101	1451219
YAL009W_5_utr	68.908	100.000	1	10	1451219
YAL010C	38.540	55.930	83	1484	1451219
YAL010C_3_utr	24.320	35.294	3	85	1451219
YAL011W	17.593	25.532	48	1880	1451219
YAL011W_3_utr	24.320	35.294	3	85	1451219
YAL012W	91.141	132.266	157	1187	1451219
YAL012W_3_utr	102.965	149.425	13	87	1451219
YAL012W_5_utr	68.908	100.000	5	50	1451219
YAL013W	35.952	52.174	66	1265	1451219
YAL013W_3_utr	49.220	71.429	2	28	1451219
YAL013W_5_utr	40.534	58.824	1	17	1451219
YAL014C	40.271	58.442	45	770	1451219
YAL014C_3_utr	88.913	129.032	16	124	1451219
YAL014C_5_utr	0.000	0.000	0	28	1451219
YAL015C	53.888	78.203	94	1202	1451219
YAL015C_3_utr	81.870	118.812	12	101	1451219
YAL016W	160.905	233.508	446	1910	1451219
YAL016W_3_utr	221.489	321.429	18	56	1451219
YAL017W	15.565	22.588	92	4073	1451219
YAL017W_3_utr	35.438	51.429	9	175	1451219
YAL017W_5_utr	15.661	22.727	8	352	1451219
YAL018C	0.703	1.020	1	980	1451219
YAL019W	34.880	50.618	172	3398	1451219
YAL019W_3_utr	71.779	104.167	5	48	1451219
YAL019W_5_utr	31.322	45.455	4	88	1451219
YAL020C	51.475	74.701	75	1004	1451219
YAL020C_3_utr	111.742	162.162	6	37	1451219
YAL021C	26.018	37.758	95	2516	1451219
YAL021C_3_utr	19.230	27.907	6	215	1451219
YAL022C	86.356	125.321	195	1556	1451219
YAL022C_3_utr	82.689	120.000	3	25	1451219
YAL022C_5_utr	114.846	166.667	3	18	1451219
YAL023C	64.016	92.901	212	2282	1451219
YAL023C_3_utr	107.668	156.250	15	96	1451219
YAL023C_5_utr	69.906	101.449	7	69	1451219
YAL024C	8.154	11.833	51	4310	1451219
YAL024C_3_utr	24.392	35.398	4	113	1451219
YAL025C	280.707	407.367	376	923	1451219
YAL025C_3_utr	305.749	443.709	67	151	1451219
YAL025C_5_utr	602.941	875.000	7	8	1451219
YAL026C	29.459	42.752	174	4070	1451219
YAL026C_3_utr	30.490	44.248	5	113	1451219
YAL026C_5_utr	19.411	28.169	2	71	1451219
YAL027W	115.429	167.513	132	788	1451219
YAL027W_3_utr	148.188	215.054	20	93	1451219
YAL028W	7.372	10.699	17	1589	1451219
YAL028W_3_utr	15.661	22.727	1	44	1451219
YAL029C	35.405	51.381	227	4418	1451219
YAL029C_3_utr	98.439	142.857	3	21	1451219
YAL030W	49.074	71.217	24	337	1451219
YAL030W_3_utr	68.150	98.901	9	91	1451219
YAL030W_5_utr	98.439	142.857	1	7	1451219
YAL031C	23.220	33.698	77	2285	1451219
YAL032C	47.065	68.301	78	1142	1451219
YAL032C_3_utr	34.454	50.000	1	20	1451219
YAL032C_5_utr	108.801	157.895	3	19	1451219
YAL033W	213.035	309.160	162	524	1451219
YAL033W_3_utr	677.591	983.333	59	60	1451219
YAL034C	9.971	14.469	18	1244	1451219
YAL034C_3_utr	18.793	27.273	3	110	1451219
YAL034W-A	44.253	64.220	56	872	1451219
YAL034W-A_3_utr	36.267	52.632	4	76	1451219
YAL035W	160.426	232.813	701	3011	1451219
YAL035W_3_utr	222.036	322.222	29	90	1451219
YAL035W_5_utr	137.815	200.000	1	5	1451219
YAL036C	213.787	310.252	345	1112	1451219
YAL036C_3_utr	288.241	418.301	64	153	1451219
YAL036C_5_utr	172.269	250.000	1	4	1451219
YAL037C-A	0.000	0.000	0	95	1451219
YAL037C-A_3_utr	0.000	0.000	0	27	1451219
YAL037W	34.197	49.628	40	806	1451219
YAL038W	1700.026	2467.110	3713	1505	1451219
YAL038W_3_utr	4261.390	6184.211	940	152	1451219
YAL038W_5_utr	3869.426	5615.385	73	13	1451219
YAL039C	42.431	61.576	50	812	1451219
YAL039C_3_utr	0.000	0.000	0	23	1451219
YAL039C_5_utr	60.801	88.235	3	34	1451219
YAL040C	17.375	25.215	44	1745	1451219
YAL040C_5_utr	6.823	9.901	3	303	1451219
YAL041W	44.292	64.277	165	2567	1451219
YAL041W_3_utr	62.643	90.909	4	44	1451219
YAL041W_5_utr	28.711	41.667	3	72	1451219
YAL042W	348.948	506.400	633	1250	1451219
YAL042W_3_utr	413.446	600.000	42	70	1451219
YAL043C	25.694	37.288	88	2360	1451219
YAL043C_3_utr	32.050	46.512	2	43	1451219
YAL043C_5_utr	0.000	0.000	0	35	1451219
YAL044C	929.918	1349.515	695	515	1451219
YAL044C_3_utr	1744.681	2531.915	119	47	1451219
YAL044W-A	94.619	137.313	46	335	1451219
YAL044W-A_3_utr	180.969	262.626	26	99	1451219
YAL046C	86.374	125.348	45	359	1451219
YAL046C_3_utr	208.023	301.887	32	106	1451219
YAL046C_5_utr	0.000	0.000	0	31	1451219
YAL047C	19.520	28.327	53	1871	1451219
YAL047C_3_utr	17.227	25.000	1	40	1451219
YAL048C	14.882	21.597	43	1991	1451219
YAL048C_3_utr	0.000	0.000	0	65	1451219
YAL049C	125.202	181.696	135	743	1451219
YAL049C_3_utr	88.138	127.907	11	86	1451219
YAL049C_5_utr	83.524	121.212	4	33	1451219
YAL051W	20.151	29.243	92	3146	1451219
YAL051W_3_utr	50.298	72.993	10	137	1451219
YAL053W	43.616	63.297	149	2354	1451219
YAL053W_3_utr	88.343	128.205	5	39	1451219
YAL053W_5_utr	44.457	64.516	6	93	1451219
YAL054C	5.464	7.929	17	2144	1451219
YAL055W	34.138	49.541	27	545	1451219
YAL055W_3_utr	44.298	64.286	9	140	1451219
YAL056W	61.222	88.847	235	2645	1451219
YAL056W_3_utr	130.837	189.873	15	79	1451219
YAL056W_5_utr	0.000	0.000	0	30	1451219
YAL058W	39.219	56.916	86	1511	1451219
YAL058W_3_utr	100.840	146.341	6	41	1451219
YAL058W_5_utr	60.801	88.235	3	34	1451219
YAL059W	254.775	369.735	237	641	1451219
YAL059W_3_utr	720.758	1045.977	91	87	1451219
YAL060W	131.709	191.138	220	1151	1451219
YAL060W_3_utr	198.772	288.462	30	104	1451219
YAL060W_5_utr	78.752	114.286	8	70	1451219
YAL061W	19.202	27.866	35	1256	1451219
YAL061W_3_utr	40.238	58.394	8	137	1451219
YAL061W_5_utr	6.532	9.479	2	211	1451219
YAL062W_3_utr	17.227	25.000	2	80	1451219
YAL067C	2.704	3.924	7	1784	1451219
YAR002C-A	405.951	589.124	390	662	1451219
YAR002C-A_3_utr	337.207	489.362	23	47	1451219
YAR002C-A_5_utr	265.029	384.615	10	26	1451219
YAR002W	81.568	118.372	192	1622	1451219
YAR002W_3_utr	56.088	81.395	7	86	1451219
YAR002W_5_utr	137.815	200.000	2	10	1451219
YAR003W	88.618	128.605	165	1283	1451219
YAR003W_3_utr	91.496	132.780	64	482	1451219
YAR003W_5_utr	159.018	230.769	3	13	1451219
YAR007C	60.128	87.259	163	1868	1451219
YAR007C_3_utr	36.267	52.632	2	38	1451219
YAR007C_5_utr	98.439	142.857	7	49	1451219
YAR008W	110.418	160.241	133	830	1451219
YAR008W_3_utr	192.300	279.070	24	86	1451219
YAR008W_5_utr	58.645	85.106	8	94	1451219
YAR014C	61.907	89.840	191	2126	1451219
YAR014C_3_utr	120.812	175.325	27	154	1451219
YAR014C_5_utr	61.251	88.889	12	135	1451219
YAR015W	500.196	725.894	670	923	1451219
YAR015W_3_utr	406.804	590.361	49	83	1451219
YAR015W_5_utr	650.794	944.444	17	18	1451219
YAR018C	24.197	35.115	46	1310	1451219
YAR018C_3_utr	0.000	0.000	0	30	1451219
YAR019C	8.475	12.299	36	2927	1451219
