#gene ID (SGD database)	Initial_Footprint_1_rpkm	5min_Footprint_1_rpkm	30min_Footprint_1_rpkm	Initial_Footprint_2_rpkm	5min_Footprint_2_rpkm	30min_Footprint_2_rpkm	Initial_mRNA_1_rpkm	5min_mRNA_1_rpkm	30min_mRNA_1_rpkm	5min_mRNA_2_rpkm	30min_mRNA_2_rpkm
orf	rdens.init.rpkm1	rdens.5min.rpkm1	rdens.30min.rpkm1	rdens.init.rpkm2	rdens.5min.rpkm2	rdens.30min.rpkm2	mrna.init.rpkm1	mrna.5min.rpkm1	mrna.30min.rpkm1	mrna.5min.rpkm2	mrna.30min.rpkm2
YAL037W	0.898237257	2.09495601	1.616650434	0.821662085	0.651076635	1.673621019	4.184426507	2.11834709	6.459860604	7.217881419	4.047530468
YAL038W	10684.97457	9111.429729	3224.273129	10354.42543	8808.357622	3658.096652	3782.606174	4067.412244	4152.05173	4584.339281	3990.833884
YAL039C	23.8804598	33.1206316	79.88226519	19.39384164	23.9052469	64.41972636	30.2677704	21.56996023	60.88865318	28.05953419	60.12692021
YAL040C	7.264623657	4.488280678	6.580741388	8.34251525	2.789762331	8.458567449	15.93090661	9.879735182	14.1398892	20.27469552	20.37018864
YAL041W	18.43846053	15.29029872	31.16560998	18.66609881	15.34058051	25.44829944	21.66790746	20.12776789	39.27691232	25.7840507	42.4135217
YAL042W	137.8809838	87.28902268	78.32023565	146.5513557	71.85622827	66.93416152	159.3480859	197.0068472	217.1636947	188.1527357	192.295775
YAL043C	18.90355821	11.6481286	21.25367892	20.61676646	13.11692307	17.61553679	19.76181377	17.3243468	36.66555305	23.28978668	36.36682822
YAL044C	261.0586305	213.4702121	141.4614798	307.0066553	289.0442712	220.4260289	210.9430641	162.9087428	144.4759442	329.4631781	183.1483036
YAL044W-A	61.23433728	74.9029193	79.78250839	50.67779915	36.79823994	35.5802188	94.30489683	98.22304792	96.88554985	130.1588721	91.16497809
YAL046C	43.21325075	35.70754247	25.09477612	35.81673819	24.18208004	28.33582947	66.14367314	69.4102642	61.18803222	47.07604706	49.79249932
YAL047C	5.540737675	4.817043502	4.825276591	6.248404217	5.654600466	5.793767363	10.34642099	10.05148648	12.57522933	13.13126323	13.32550449
YAL048C	7.385612003	6.853307066	11.64832725	7.322658856	6.765536349	9.761776982	7.618387782	8.13765489	19.2888973	11.99820325	18.1562489
YAL049C	64.12377047	69.02569567	100.614001	48.02434593	44.35518577	78.26366905	59.89462744	46.79937909	99.24117636	43.66297244	77.10640257
YAL051W	12.84089766	12.51651335	26.23463218	11.50092199	13.13567367	20.28133076	12.70769073	16.61959242	32.16604149	13.91094097	34.4141145
YAL053W	47.3672574	51.81036658	79.34508843	50.50661465	46.43562096	61.83755499	43.38166989	38.71431983	61.38561025	46.16643972	72.32929756
YAL054C	0.812900319	2.568025301	3.158353312	0.671241555	1.934361924	3.26733608	4.635313395	4.129124985	9.445058215	5.490361179	9.311302216
YAL055W	8.29703579	17.94085227	22.26574081	10.10541949	12.65946804	23.5524072	22.23848563	20.06893858	46.01049726	20.39182752	39.99654486
YAL056W	8.128287752	6.379606504	12.53142483	6.680624525	5.036201492	10.24333549	24.3645876	21.02161045	53.90867511	21.91661809	40.82737457
YAL058W	17.27879532	10.29289009	13.32790024	15.40415475	7.568178083	12.06972884	35.74802755	40.05719523	42.15372931	40.75781119	37.72562677
YAL059W	93.63665118	77.83165365	15.83657568	56.43586395	56.20049743	12.87869275	140.4869752	102.2659493	13.82508648	100.2600438	12.01493274
YAL060W	69.13601155	78.34305571	464.0007641	91.08185683	84.54934558	517.9813132	87.14729159	85.02591944	481.8463793	156.9312265	590.5366245
YAL061W	13.904775	11.5022888	93.69287783	11.70325175	5.513940077	63.31404314	6.86304439	7.952626859	81.71330469	6.080724068	45.70272184
YAL062W	3.16427693	3.215700835	7.593435004	3.93832491	4.137454032	13.10356846	17.96750119	16.5681807	47.56674267	40.89827046	78.20057609
YAL063C-A	0	0	0	0	0.07058176	0	0	0	0	0	0.54249623
YAL064W	0	0	0	0	0	0	0	0	0	0	0.228230793
YAL067C	0.305464751	0.389707763	1.127746636	0.328953688	0.352657023	1.021200614	1.952368041	1.227645401	2.34543941	2.061979374	2.648942651
YAR002C-A	318.1556364	265.121671	193.0742518	312.9828262	228.5289931	178.3567262	298.2917923	275.4223674	232.8663003	279.1306959	190.9509231
YAR002W	45.06078112	45.2804527	42.80436552	38.40339532	40.83359145	37.84230112	31.93017086	29.88670421	34.53342349	35.18129269	32.27799034
YAR003W	14.92549359	8.672317661	14.77663213	12.40463821	5.741745513	14.38785132	36.06595664	25.49798361	78.22136422	26.56694131	57.86220694
YAR007C	60.78309464	52.24235588	139.9559119	54.85008101	45.33655104	113.6205277	26.06039356	26.56801062	96.08779324	22.74471483	94.58111513
YAR008W	15.14664913	9.791809041	7.29565324	15.37328583	9.796030869	9.827676347	34.22922695	33.01255026	22.88020533	23.04484589	21.20728052
YAR014C	25.40449285	13.39962201	13.02692234	20.7450261	10.19742535	12.40706373	29.84871025	27.3755624	36.43780984	26.6598353	29.41098819
YAR015W	107.3027006	105.08973	85.25517318	115.1355574	118.7684696	82.11276961	135.0540136	100.743848	89.22898719	200.905584	93.01530675
YAR018C	12.00723114	7.461064817	2.826461686	12.60623165	8.827452747	3.454872976	30.34265718	16.95109327	7.166512554	23.50269051	9.049313151
YAR019C	4.798653692	3.335450119	10.67618778	3.899363559	2.977775756	8.110297153	4.786503137	5.055653799	15.30298894	6.252698894	17.40395118
YAR023C	0.359294903	1.675964808	4.742174606	0.428693262	0.888528114	3.129469665	5.817038816	5.996551764	16.56214863	4.766093128	17.89744381
YAR027W	73.32452554	106.1934426	330.7042817	69.39002116	95.72035963	295.8647827	50.51638972	69.24507858	162.9343154	65.40112103	156.0216481
YAR028W	29.07022395	44.28610037	66.15529533	31.21926202	42.06999569	41.95307787	33.5253009	31.19154989	31.3356305	27.99663096	27.7453196
YAR029W	0.948538543	0	0	0.704200131	0	0.22712852	5.022409363	5.506398837	4.821702219	7.097812535	7.045941038
YAR035W	0.643950131	0.542346611	1.931639351	0.921996099	0.713867661	1.062496577	2.11463656	2.161158742	2.455041863	4.312108384	2.7434178
