Threshold +/-1.5 for log2(TE change) was used in the manuscript. Refer to the fig. S2b if you like to select a different threshold.
gene_name 5 min	5 min log2(TE change)	gene_name 30 min	30 min log2(TE change)
YOL115W	0.457149004	YML094W	0.589052138
YDL002C	0.45692003	YPR199C	0.588554026
YLR003C	0.456419887	YCL055W	0.587429748
YNR012W	0.456374728	YGL243W	0.587265864
YDR245W	0.455967784	YKR092C	0.586974007
YBR101C	0.455936047	YOL053W	0.586892813
YKL067W	0.455828741	YGL194C	0.586417801
YGL085W	0.455729621	YML041C	0.586325431
YMR298W	0.455123238	YPL083C	0.585681578
YPR035W	0.454730217	YPR067W	0.584670592
YNL162W-A	0.454219831	YDL129W	0.584517288
YLL028W	0.453795408	YIL084C	0.584472153
YLR002C	0.453737941	YGL220W	0.584290768
YHR088W	0.453494261	YNL111C	0.583547909
YDR384C	0.453307523	YNL234W	0.583537507
YPR137W	0.453156402	YPL122C	0.581967057
YML079W	0.452529868	YDL020C	0.580959988
YDL160C-A	0.451566513	YOR097C	0.58007203
YDR449C	0.450741838	YBL068W	0.579954284
YGR208W	0.450251628	YOR284W	0.579679913
YDR002W	0.449693857	YNL050C	0.579277626
YGR076C	0.448281531	YPR109W	0.576364094
YIL045W	0.448262398	YMR270C	0.575776807
YNL213C	0.447798296	YHR038W	0.574844694
YIL067C	0.447761682	YJL031C	0.574557642
YGR003W	0.446968255	YGL215W	0.572556217
YJL210W	0.446907081	YNL046W	0.572459579
YCR019W	0.445480988	YKL058W	0.571371398
YJR062C	0.445373515	YPR065W	0.570320872
YNL222W	0.445252156	YHR004C	0.569365468
YPL211W	0.445115861	YLR405W	0.568706612
YGR145W	0.444956271	YPL038W	0.567602894
YDR441C	0.444725049	YJL096W	0.566656065
YNL268W	0.4436914	YGR020C	0.563396527
YOR232W	0.443633681	YGR084C	0.562068256
YKL006W	0.443178806	YGL237C	0.561921921
YOR016C	0.442533372	YJL147C	0.561877745
YJR014W	0.442098744	YKL170W	0.561369143
YBL059C-A	0.442085167	YMR234W	0.560567447
YDL178W	0.442035044	YGR238C	0.560511628
YDR529C	0.441952316	YKL125W	0.560090251
YBR255C-A	0.44057468	YBR120C	0.560016306
YGR181W	0.440488809	YFR001W	0.559576177
YJR085C	0.440223266	YOR283W	0.559129525
YKR022C	0.440216494	YER130C	0.558882865
YOL067C	0.438928403	YLR333C	0.55818678
YLR333C	0.438247532	YJL035C	0.557533925
YDR493W	0.438205553	YJL023C	0.556751093
YPL183W-A	0.43789518	YML023C	0.556123272
YBR088C	0.437266298	YMR293C	0.554149642
YPL083C	0.437054703	YFL001W	0.553999099
YLR435W	0.436870891	YLL033W	0.553929669
YOL055C	0.436308351	YOR269W	0.553082367
YER134C	0.434721966	YNL077W	0.551846054
YPR100W	0.434540327	YOL008W	0.550229585
YDL208W	0.434494669	YJR085C	0.54935895
YKR024C	0.433502957	YBR171W	0.548301112
YDR424C	0.433287188	YNL047C	0.546980071
YOR052C	0.433195633	YBR122C	0.546482719
YIL070C	0.432349847	YOR369C	0.546292872
YKL089W	0.431100977	YJL124C	0.546278029
YML121W	0.430423429	YCR003W	0.545900382
YBL055C	0.429006938	YGL169W	0.545847138
YML107C	0.428985951	YKL053C-A	0.545604566
YIL002W-A	0.428016706	YOR208W	0.544235147
YBR157C	0.427858639	YJL065C	0.544027062
YDR371W	0.427384359	YMR148W	0.543856446
YHR129C	0.425855167	YML058W-A	0.543059679
YPL138C	0.425826729	YNL157W	0.542741018
YMR126C	0.425556969	YJL057C	0.542267435
YMR091C	0.424779926	YNL294C	0.541224071
YDR288W	0.423658391	YOR162C	0.540947877
YHR065C	0.423297348	YPL239W	0.54016432
YLR107W	0.422777211	YJR003C	0.537790119
YJL126W	0.422647287	YLR011W	0.537025318
YGL253W	0.421974312	YOR125C	0.536001737
YAL049C	0.4208811	YOR122C	0.534921691
YLR405W	0.420312075	YJR062C	0.534878832
YGL211W	0.42009086	YBL064C	0.534715744
YKL011C	0.419904718	YJR025C	0.534551312
YKR008W	0.41976271	YGR033C	0.534059941
YOR334W	0.419685802	YPL041C	0.533840022
YPL053C	0.419527599	YER035W	0.533520369
YIL003W	0.419315568	YKL099C	0.532932569
YGR037C	0.418989634	YPL120W	0.532829595
YOL068C	0.417912106	YHR144C	0.53157714
YNL299W	0.417815458	YKR045C	0.530426733
YPR149W	0.417638641	YMR071C	0.529245766
YLR016C	0.417479266	YPL133C	0.529098149
YNL225C	0.41747254	YBR091C	0.528959
YBR185C	0.417435352	YBR058C-A	0.52862729
YGL169W	0.417360728	YNR036C	0.528603105
YPL133C	0.417154039	YKL106W	0.528589505
YJL011C	0.41695383	YBR197C	0.528453104
YPL074W	0.416576895	YOR278W	0.528204865
YJR102C	0.414463348	YJL205C	0.528175455
YDR098C	0.414176913	YCR075W-A	0.527834832
YDR111C	0.414086387	YIL093C	0.527813924
YEL018W	0.413600805	YBR067C	0.527117307
YER130C	0.411073198	YOL129W	0.526726706
YNL166C	0.411047145	YLR218C	0.526658206
YJL013C	0.41094487	YDR373W	0.525835277
YNL255C	0.410038647	YOR143C	0.525581701
YNL148C	0.409862154	YLR178C	0.52507994
YBR282W	0.409813178	YNL056W	0.52470578
YDR339C	0.409792388	YLR312W-A	0.524489202
YPR168W	0.409712116	YGR169C-A	0.524009183
YIL001W	0.409584883	YJL058C	0.523398661
YPL095C	0.409574937	YPR047W	0.523378288
YOR168W	0.409074075	YGR206W	0.520545151
YPL024W	0.408384	YMR023C	0.52040249
YDR336W	0.408243934	YDL142C	0.518920143
YOL142W	0.408241939	YAL014C	0.51889569
YDR041W	0.408059905	YOR213C	0.518850689
YPR155C	0.407971157	YDR529C	0.517863016
YIL110W	0.406659267	YER017C	0.516238818
YDR532C	0.405352567	YCR019W	0.514801464
YPL088W	0.403169996	YKL067W	0.514311182
YHR136C	0.402770462	YHR067W	0.51321519
YFL026W	0.402461851	YOR289W	0.512460546
YGL162W	0.401709928	YLR193C	0.511567056
YNL138W-A	0.399297708	YNL326C	0.511359195
YDR496C	0.398979676	YGR215W	0.50915043
YDR087C	0.398167304	YER077C	0.508446287
YMR072W	0.397965828	YGL127C	0.508019452
YKR085C	0.39789581	YOL067C	0.507970684
YJL180C	0.397718085	YDR262W	0.506854084
YJL124C	0.397264656	YGR150C	0.506364567
YHR026W	0.396691503	YCR026C	0.506202163
YBR168W	0.396224792	YLR363C	0.505580972
YNR048W	0.395732652	YGL187C	0.505451959
YNR053C	0.395056034	YER019C-A	0.505367872
YDR379C-A	0.394491361	YGR029W	0.505132475
YLL012W	0.393542068	YOR006C	0.504397735
YPL020C	0.393410725	YNL078W	0.503160307
YJR133W	0.393239074	YJR086W	0.502255446
YLR316C	0.392702644	YLR265C	0.501277834
YDL004W	0.39244311	YBL055C	0.501273648
YDR370C	0.392160024	YLR407W	0.501175136
YOR241W	0.391486843	YPR170W-B	0.500956035
YGL055W	0.391458	YJL136C	0.500873713
YKR056W	0.391455888	YPL075W	0.499859974
YHR106W	0.390208729	YBR160W	0.499712835
YDR179C	0.389913941	YOR047C	0.499439403
YOL027C	0.388769062	YDR198C	0.497725083
YER026C	0.388251729	YBR131W	0.495855576
YGR134W	0.38802983	YOR094W	0.493340296
YOR154W	0.38801682	YNL138W-A	0.493257905
YCR097W	0.387557735	YMR024W	0.490603715
YPL178W	0.387274122	YHR109W	0.490273957
YOL093W	0.387162379	YNL317W	0.490014417
YIL093C	0.387154952	YDL054C	0.489019264
YJL131C	0.386951934	YOL108C	0.488999528
YDR035W	0.386654635	YBR061C	0.488748473
YMR134W	0.386614781	YOR016C	0.488410656
YOL159C	0.3860339	YDL208W	0.488376382
YOL137W	0.385862672	YJL180C	0.488047739
YGR171C	0.385832552	YDR003W	0.487948169
YHR144C	0.385336006	YHL008C	0.487893987
YNL032W	0.384524674	YPR186C	0.487319317
YAL036C	0.384377096	YNL244C	0.487079098
YIR038C	0.382955054	YLR137W	0.486363395
YOR284W	0.382388839	YKL208W	0.486343627
YOL002C	0.382200939	YMR158W	0.483492727
YDR075W	0.380830834	YMR188C	0.482122636
YGR083C	0.380812058	YOR288C	0.48177439
YMR292W	0.380574166	YIL090W	0.481727904
YLR368W	0.380538629	YBR107C	0.481069261
YLR243W	0.380195907	YDR235W	0.479660736
YLR008C	0.37896818	YNL032W	0.479581811
YBR154C	0.377810303	YDR405W	0.478997576
YJR003C	0.37777128	YEL003W	0.478991234
YLR093C	0.376631477	YDR397C	0.477126689
YER001W	0.375928485	YPL107W	0.476563534
YPR112C	0.375756863	YKL167C	0.476540485
YDR131C	0.375319546	YLR221C	0.476504124
YPR176C	0.37510094	YHR051W	0.476162995
YDL139C	0.374887386	YML095C	0.475929392
YGL009C	0.374663087	YAR027W	0.475807336
YKR006C	0.374607589	YNL315C	0.473384559
YDR514C	0.373866544	YDR245W	0.472434797
YNL044W	0.373597199	YKR035W-A	0.472271302
YKL075C	0.373350174	YDR357C	0.472148175
YML055W	0.373075369	YGR017W	0.471697117
YDR116C	0.372323854	YDL177C	0.471596199
YBR012C	0.372036441	YDL165W	0.471291477
YLR064W	0.371334854	YGR166W	0.470927847
YER034W	0.370699032	YML053C	0.470792473
YBR153W	0.37047449	YIL027C	0.470686789
YBR258C	0.370237687	YER072W	0.469830302
YLR312W-A	0.369631767	YDR210W	0.469727792
YGR002C	0.369554088	YBR101C	0.469530705
YGL134W	0.369435904	YMR059W	0.469185347
YOL048C	0.369289892	YDR511W	0.469140092
YLR222C	0.369199617	YBL016W	0.467287636
YDR198C	0.369115615	YLL050C	0.467182599
YKL144C	0.368940122	YDR338C	0.465633114
YML092C	0.36865854	YNL099C	0.465511136
YGR029W	0.367559034	YGL134W	0.465075625
YDR183W	0.365716295	YBR242W	0.464954279
YPL183C	0.364841255	YOR319W	0.46410312
YOR030W	0.364325389	YNR015W	0.463927683
YBL045C	0.364178164	YGL070C	0.463320317
YDL209C	0.363673345	YBR062C	0.463286893
YDL148C	0.363635116	YNL110C	0.462848214
YPR020W	0.363533436	YBR187W	0.462643921
YJR011C	0.363277586	YKL002W	0.462486524
YPR103W	0.363059907	YOL071W	0.461328716
YBR195C	0.363058567	YLR284C	0.461264237
YOL010W	0.361879083	YOL082W	0.460749859
YOL071W	0.361841699	YPL029W	0.460668061
YHR060W	0.36173993	YML055W	0.46057402
YMR215W	0.360574079	YJR101W	0.460434248
YKR093W	0.359757769	YCR020C-A	0.459923593
YBR160W	0.359628689	YNL261W	0.459883797
YNR045W	0.359495509	YGL232W	0.459298681
YOL005C	0.359129371	YDR118W	0.459107712
YPL271W	0.359109956	YDR470C	0.45906519
YMR024W	0.358239498	YMR098C	0.457809458
YOL073C	0.357551072	YPL047W	0.457662124
YEL027W	0.357253408	YGL087C	0.457248997
YHR002W	0.356769203	YJL192C	0.457088828
YOR271C	0.356721263	YGR108W	0.456836929
YDR511W	0.356388812	YMR209C	0.456832269
YDL177C	0.356213448	YJL011C	0.456665142
YOR238W	0.355519943	YGR062C	0.456536109
YDR392W	0.354656372	YML051W	0.455980686
YGR103W	0.354632971	YKL048C	0.455754104
YGR092W	0.354330289	YGR158C	0.455702399
YCR003W	0.35427707	YLR431C	0.455193635
YLR224W	0.354266767	YBL001C	0.453180869
YBR052C	0.353983689	YMR267W	0.452706614
YBR249C	0.353852131	YPL234C	0.452386848
YGL078C	0.353496537	YDR316W	0.452042369
YDL165W	0.353455242	YBR119W	0.450943913
YML080W	0.35184081	YCL047C	0.450676466
YNL051W	0.351205502	YMR025W	0.449520955
YGL080W	0.350540191	YNR007C	0.4487878
YNL252C	0.350250799	YJL104W	0.447389976
YDR398W	0.349463501	YML121W	0.446946702
YJL112W	0.348931362	YCR016W	0.446493681
YFR049W	0.348875603	YDL051W	0.446078811
YKL051W	0.348507098	YOL149W	0.445156306
YHR207C	0.348000639	YBL038W	0.443839023
YBR055C	0.347028731	YMR260C	0.443440279
YDR487C	0.346986252	YMR130W	0.442898753
YOL054W	0.346845516	YDR041W	0.44180307
YDR045C	0.346045171	YGR058W	0.441546864
YER006W	0.345893498	YDL085C-A	0.440583167
YHR062C	0.345858771	YNL051W	0.439367681
YBL107C	0.345857825	YLR456W	0.439035504
YNL056W	0.345662345	YCR015C	0.438164163
YLR146C	0.345259427	YNL213C	0.438021971
YJL069C	0.345192481	YBR255C-A	0.437936329
YLR036C	0.344704474	YPR068C	0.437269513
YDR495C	0.344701145	YGR091W	0.436828491
YOR075W	0.344532285	YBR249C	0.436014963
YKL009W	0.343424958	YMR028W	0.435155846
YDR151C	0.343419715	YJL210W	0.434596037
YDL215C	0.343078833	YOL140W	0.434297122
YDR365C	0.342266601	YOR307C	0.43345801
YJL096W	0.342196361	YJL024C	0.43222198
YPL097W	0.342160494	YJR112W	0.431245567
YLR350W	0.340415197	YMR292W	0.430698315
YMR097C	0.339482346	YHR100C	0.430373251
YIR009W	0.339295615	YDR181C	0.430143883
YKL156W	0.3390296	YIL156W-B	0.429788979
YLR057W	0.338680614	YHR106W	0.429437135
YIL130W	0.338494875	YER034W	0.428616445
YDL065C	0.338470482	YHR045W	0.428264673
YML025C	0.337758144	YGL246C	0.428140972
YHR201C	0.337423983	YER026C	0.427866994
YCL059C	0.33718714	YBR130C	0.427854705
YGL124C	0.33682023	YKR065C	0.427605462
YBR077C	0.336735891	YNL052W	0.427597314
YPR068C	0.33607395	YOR279C	0.425771153
YBR228W	0.335862324	YOR071C	0.424836621
YOL072W	0.33559801	YGL247W	0.423300496
YJR084W	0.334897529	YNL222W	0.42325336
YLR015W	0.334221477	YHR088W	0.423145628
YLR418C	0.334066117	YBR188C	0.422968702
YDL102W	0.333644826	YEL017C-A	0.422661931
YGL145W	0.332893411	YCR083W	0.422549777
YNL214W	0.332153369	YMR145C	0.421835121
YLR126C	0.331991464	YOR158W	0.421342889
YGR142W	0.331935619	YJR012C	0.420754293
YMR313C	0.330609925	YFR011C	0.420571843
YNL077W	0.330426216	YGR149W	0.420088967
YBR067C	0.329926276	YBR258C	0.418817802
YMR049C	0.329689333	YGL061C	0.418722169
YLR277C	0.328906314	YKR071C	0.418105605
YKR081C	0.328524844	YPL097W	0.417796901
YDR527W	0.328473612	YGL108C	0.416825863
YJR101W	0.328457454	YCL063W	0.416691026
YHR120W	0.328052132	YLR243W	0.416155593
YMR178W	0.326833269	YGL124C	0.416096736
YBR042C	0.32665031	YPL257W	0.414811392
YLR265C	0.326386319	YLR246W	0.414558924
YGR282C	0.326137694	YJL093C	0.414351037
YER048W-A	0.325921523	YKL144C	0.413985708
YGL005C	0.325844	YOR104W	0.4136644
YPL260W	0.325777447	YJL218W	0.413068757
YKR010C	0.325405907	YOR233W	0.412253593
YDR306C	0.324980673	YDR167W	0.411260252
YER183C	0.324775273	YMR074C	0.410656816
YIL103W	0.324684132	YMR216C	0.410160931
YFR044C	0.324199963	YPL227C	0.410095775
YPL041C	0.324128111	YFR043C	0.40972128
YMR270C	0.323836656	YOR372C	0.409573966
YDR289C	0.322568043	YLR350W	0.408959564
YDR130C	0.322380284	YPL099C	0.408673238
YDR429C	0.322261812	YNL122C	0.408552425
YNL149C	0.322068431	YDL200C	0.408393149
YDR316W	0.321730725	YDR519W	0.407270098
YMR130W	0.321659389	YJR104C	0.407127721
YHR077C	0.321222987	YPL236C	0.405074673
YJR135W-A	0.321129169	YMR204C	0.40480317
YOR089C	0.320919538	YOL126C	0.404130833
YDR469W	0.320708328	YBR145W	0.403347323
YNR041C	0.319922013	YLR285W	0.402751237
YDR320C-A	0.319128494	YDR361C	0.40253804
YPL263C	0.31885477	YLR154C	0.402373245
YKL192C	0.318413796	YPL096W	0.401770566
YLR104W	0.317661322	YPR125W	0.401701684
YPR036W-A	0.317590683	YDR156W	0.401622177
YOR037W	0.317179392	YPR131C	0.401236271
YOR122C	0.316824696	YLR423C	0.401126187
YJR067C	0.316484938	YDR030C	0.400994687
YDR167W	0.316428931	YBR022W	0.400073314
YNL099C	0.315870258	YPL138C	0.399682591
YOL109W	0.315829055	YBR193C	0.399262285
YMR294W	0.315517765	YDR512C	0.399092925
YDR103W	0.31530318	YLR264W	0.398972557
YOL044W	0.314924311	YLR287C	0.397215358
YGR213C	0.314878445	YDL209C	0.396889993
YCL011C	0.3145532	YER170W	0.396458458
YGR120C	0.314062504	YDR045C	0.395816337
YGL153W	0.313927969	YKL139W	0.394985294
YBR061C	0.313151125	YDR240C	0.394893181
YOL129W	0.312031688	YDL219W	0.394507815
YBR119W	0.312027296	YLL004W	0.393763158
YDR381C-A	0.311270621	YLL009C	0.393761939
YKL122C	0.310926788	YDR130C	0.393622973
YER137C	0.310788008	YPR182W	0.393360921
YPR133W-A	0.309424059	YDR219C	0.393006641
YML096W	0.309252739	YDR487C	0.392841346
YAL059W	0.309248629	YGR165W	0.392383082
YGL087C	0.308959703	YLR439W	0.392329828
YHR169W	0.308905379	YPR082C	0.39213448
YLR414C	0.308418613	YLR003C	0.390911584
YBR120C	0.307879349	YNR028W	0.390737331
YGL194C	0.30764873	YER154W	0.390293384
YBL039C	0.307631456	YMR223W	0.390102299
YBR129C	0.307114923	YIR001C	0.389478762
YOR060C	0.307016009	YHR008C	0.389447453
YDL108W	0.306524243	YMR196W	0.388967648
YPR010C-A	0.306508764	YGL119W	0.387840183
YOL136C	0.306374338	YKR064W	0.387159017
YPL108W	0.305821653	YDR384C	0.387118301
YDR161W	0.305624828	YBR252W	0.386438285
YNL234W	0.305211628	YDL025C	0.385430912
YLR025W	0.304366322	YMR002W	0.384626981
YKR027W	0.304365043	YLR113W	0.384578505
YMR123W	0.304080845	YER029C	0.384433301
YDR400W	0.303660755	YKL122C	0.384192071
YMR002W	0.303537927	YMR313C	0.384109139
YIL027C	0.302037902	YJR135W-A	0.384007309
YGL098W	0.302029372	YNL225C	0.383827031
YLR033W	0.301958716	YLR367W	0.383248593
YIL076W	0.301791685	YJR052W	0.383142596
YNL001W	0.300919595	YJR011C	0.38311374
YNL284C	0.300548546	YDR286C	0.382293344
YMR210W	0.300214239	YJR144W	0.381406953
YNL086W	0.299217622	YDR071C	0.380120611
YJL147C	0.298742242	YDR002W	0.379574024
YBL078C	0.297326016	YNR022C	0.378750997
YOR094W	0.29611581	YNR048W	0.378404307
YBR041W	0.29594052	YDR462W	0.378174345
YHR003C	0.295345701	YLR301W	0.377727234
YPL104W	0.295296916	YPR180W	0.377720835
YKL040C	0.29503245	YNL036W	0.376523315
YOR064C	0.294679827	YLR008C	0.375821137
YER017C	0.294545595	YLR200W	0.375385244
YDL153C	0.294513571	YEL061C	0.375262394
YCL001W	0.29411462	YCR065W	0.375081355
YOR150W	0.294026315	YOR166C	0.375027928
YLR423C	0.293642233	YPR139C	0.374950799
YPL215W	0.293638177	YER048W-A	0.37486983
YIL118W	0.292981415	YOR215C	0.374340891
YGR084C	0.292673095	YHR011W	0.373790767
YJR096W	0.292550165	YLR165C	0.373722091
YNL286W	0.29177948	YDR532C	0.373581112
YHR059W	0.291741667	YGR134W	0.373349318
YGR165W	0.291226876	YPL072W	0.372578954
YLR204W	0.290845868	YIR024C	0.372500162
YOR097C	0.290466934	YKL116C	0.372094283
YEL003W	0.290436121	YKL006W	0.371317852
YER009W	0.289310218	YDR382W	0.37130792
YHR116W	0.289080339	YER057C	0.370808978
YBR251W	0.288955044	YOR232W	0.370004923
YMR319C	0.28839988	YLR292C	0.368916694
YPL158C	0.288224781	YJL126W	0.368879355
YKR011C	0.288213528	YOL072W	0.368128988
YLR137W	0.288019466	YBR199W	0.368022689
YDR003W	0.287341548	YJR069C	0.367961815
YNR061C	0.287296681	YDR229W	0.367933043
YLR367W	0.287141699	YBR068C	0.367794844
YHR030C	0.287092078	YLR127C	0.367282448
YLR401C	0.287079564	YDL021W	0.367091976
YKL013C	0.286687487	YER169W	0.367044075
YNL157W	0.286350041	YNL288W	0.366141884
YMR020W	0.285612882	YKL040C	0.365541292
YEL061C	0.285380606	YIL070C	0.36530953
YBL018C	0.285133417	YAL055W	0.364624638
YMR283C	0.284939213	YNL231C	0.363362933
YCL056C	0.284855795	YBR111C	0.36254456
YOR257W	0.284722862	YGR216C	0.361346714
YGR173W	0.284239757	YLR211C	0.36058952
YNL015W	0.282807974	YIL044C	0.359923719
YHR012W	0.282594651	YKL013C	0.359745615
YBR062C	0.282579563	YGR077C	0.359685452
YBL024W	0.282426947	YKL091C	0.359379915
YJR082C	0.2821802	YNR034W	0.359256166
YPR037C	0.28190753	YER141W	0.359129671
YMR158W	0.281453923	YEL052W	0.358734407
YOR057W	0.281203258	YGR071C	0.357010679
YMR088C	0.28101147	YOR103C	0.356975539
YDR397C	0.280890703	YMR251W	0.356938203
YGL143C	0.28036665	YDR524C	0.356910532
YJR005W	0.27995299	YDR260C	0.356834405
YBR204C	0.279456444	YOL083W	0.356500902
YML004C	0.279111365	YLR126C	0.356325079
YLR287C	0.278624094	YER046W	0.355963653
YDR304C	0.278415646	YGR195W	0.355790267
YDR178W	0.277510981	YNL286W	0.355698283
YDR381W	0.277409968	YER018C	0.355697827
YCR075W-A	0.276856173	YHR005C	0.355403607
YMR240C	0.276224172	YJR010W	0.354620265
YLR369W	0.275740615	YIR009W	0.353340839
YDR280W	0.274546079	YMR211W	0.352903733
YKL141W	0.273439185	YKL120W	0.352864523
YPL236C	0.273270017	YNL011C	0.352255527
YOR166C	0.272327069	YDR031W	0.352198731
YHL025W	0.271854659	YDR239C	0.351915686
YHR118C	0.271805433	YOL001W	0.351074552
YNL313C	0.271627569	YMR005W	0.350954992
YFR014C	0.271480497	YPL002C	0.350606618
YKL139W	0.270858853	YNR037C	0.350264683
YDR508C	0.270711065	YPL026C	0.34920053
YPL098C	0.270488893	YFR049W	0.34909524
YDR257C	0.270295308	YBR167C	0.348509262
YLR421C	0.269606688	YKR006C	0.348325511
YPR111W	0.269577086	YOL112W	0.34802529
YOR040W	0.268884543	YGR002C	0.347508989
YBR252W	0.26838935	YML032C	0.347490039
YDR265W	0.268100297	YOR118W	0.346358595
YCR082W	0.26799774	YPL199C	0.346227157
YLR011W	0.267126399	YHR129C	0.345989656
YOR279C	0.266963911	YBR146W	0.345107295
YOR204W	0.266871522	YGL018C	0.344962447
YDL098C	0.265568397	YER006W	0.344628801
YBR022W	0.265090849	YGL056C	0.343841186
YKR035W-A	0.264500656	YLR010C	0.343282431
YDR267C	0.264302801	YJR024C	0.342500323
YBR109C	0.264253056	YDR400W	0.342485936
YKL152C	0.264201117	YPR060C	0.342139995
YJR055W	0.26390943	YNL275W	0.341606701
YNL308C	0.263709646	YML098W	0.341321577
YPL087W	0.263561167	YMR020W	0.34124014
YER082C	0.263552327	YOR264W	0.34117273
YER057C	0.262915076	YGL257C	0.33993172
YFR003C	0.26247772	YJL122W	0.339647095
YNR075W	0.262149391	YMR009W	0.338852357
YIL127C	0.262113755	YDL217C	0.338483352
YOL003C	0.262073323	YBR042C	0.338447413
YBL033C	0.261620763	YPL193W	0.337457742
YMR299C	0.261136851	YNL003C	0.33696348
YDL074C	0.261097053	YIL003W	0.336847548
YOL053W	0.260362731	YPL181W	0.336641514
YNL039W	0.260360207	YMR240C	0.336346882
YDR324C	0.259768709	YNL070W	0.336222454
YDR235W	0.259754375	YBR211C	0.336220156
YER045C	0.259689822	YDR386W	0.334907429
YBL026W	0.258477047	YMR072W	0.334799557
YER074W-A	0.258343849	YMR269W	0.33471037
YJR034W	0.257958528	YOL003C	0.334483442
YKL120W	0.257846426	YIR008C	0.333951654
YDR054C	0.257769693	YDL176W	0.332813909
YKR091W	0.25773144	YOR350C	0.332776649
YKL106W	0.257508871	YNL254C	0.332577019
YNL254C	0.257187812	YPR070W	0.332558213
YIL156W-B	0.256832583	YLR257W	0.331906354
YKL149C	0.256700737	YJR133W	0.331607844
YHR146W	0.25630218	YPL087W	0.330031116
YNL160W	0.25616547	YMR194C-B	0.329367289
YPL162C	0.255002087	YBL057C	0.329358621
YPL173W	0.254946033	YFR003C	0.328817641
YGR012W	0.254858622	YPL132W	0.328180838
YMR005W	0.253799394	YLR229C	0.326686367
YGR150C	0.253773821	YMR172W	0.326501342
YDL005C	0.253499438	YHR090C	0.326289166
YJR069C	0.253100367	YDR510W	0.325763875
YCL047C	0.252925894	YPL078C	0.324642191
YML058W	0.252711448	YML130C	0.324610779
YBL023C	0.252700083	YIL063C	0.323908868
YPL037C	0.252378709	YJR058C	0.32388774
YMR301C	0.252336707	YGL174W	0.322747261
YPR062W	0.251955826	YLR457C	0.322180602
YJR052W	0.251742439	YBR153W	0.321720967
YPL128C	0.251640114	YIL127C	0.32137087
YDR428C	0.251489713	YPL064C	0.32050633
YKL183W	0.2512863	YIL116W	0.319806265
YHR196W	0.251209283	YOR266W	0.319513443
YOL140W	0.25097496	YBR047W	0.319308956
YPR188C	0.250879126	YGR171C	0.319296065
YPR143W	0.250443746	YPR020W	0.318006243
YCR087C-A	0.250373051	YDR461C-A	0.31728235
YLR276C	0.250334267	YPL244C	0.316302498
YBR145W	0.250192393	YLR036C	0.316244746
YDR050C	0.249943912	YNR024W	0.315679271
YGR253C	0.249932953	YJL133C-A	0.31409737
YKR089C	0.249619722	YDR063W	0.313871017
YFR011C	0.248548663	YMR314W	0.313414635
YGR275W	0.248440912	YDL133W	0.312328863
YGR082W	0.248099921	YER139C	0.312189889
YOL042W	0.247909331	YLR277C	0.311436968
YML062C	0.247487295	YDR103W	0.310763735
YEL050C	0.247053534	YDL170W	0.310703787
YAL025C	0.246783789	YDR304C	0.310029363
YGR215W	0.246189551	YER124C	0.309847454
YLR244C	0.245833222	YMR201C	0.308740718
YNL231C	0.245454149	YIR010W	0.308577105
YML011C	0.244739418	YML025C	0.308182173
YGL070C	0.244597595	YOR274W	0.30784625
YDL054C	0.244445882	YNL025C	0.307542607
YNR010W	0.244040163	YPL077C	0.307362692
YHR192W	0.243477002	YGR179C	0.306718266
YNL072W	0.242825925	YOR258W	0.306304633
YKL060C	0.24281275	YKR008W	0.305724173
YDL001W	0.242536769	YNL284C	0.305705836
YOR021C	0.242530725	YGR262C	0.304882533
YKL207W	0.242394144	YFL026W	0.304672485
YNL008C	0.241242519	YDR424C	0.304385674
YKL091C	0.240735867	YOR083W	0.303539469
YHR049W	0.240669129	YMR026C	0.303168587
YDR092W	0.24063841	YOR189W	0.303071899
YPL003W	0.240526916	YOR241W	0.303071351
YOR368W	0.239841729	YNL314W	0.30198695
YOR369C	0.239765006	YHR060W	0.300803989
YDR260C	0.239764881	YOR044W	0.300295268
YMR209C	0.239213616	YJR099W	0.300182975
YBL042C	0.238642957	YHR006W	0.299744724
YOR044W	0.238215687	YPL211W	0.298885277
YBL068W	0.23790962	YHR137W	0.298452423
YER104W	0.237792608	YLR009W	0.298347595
YNL306W	0.237781706	YEL044W	0.297628202
YLR069C	0.237662572	YMR244C-A	0.294890203
YJR016C	0.237469225	YKL218C	0.294564986
YGR074W	0.237425544	YGR122W	0.294055594
YER099C	0.236284606	YDL241W	0.293820721
YLR361C-A	0.235901949	YDR054C	0.293488922
YGL215W	0.235727787	YCR066W	0.293427063
YDR510W	0.235633554	YEL059C-A	0.293303441
YGR166W	0.235356494	YPL053C	0.293058809
YLR022C	0.234826026	YBL093C	0.292452481
YIL133C	0.234242965	YER101C	0.292062786
YGL117W	0.23408151	YLR151C	0.291825264
YFR043C	0.234030148	YNR010W	0.29134564
YNL188W	0.233804595	YOR076C	0.291180409
YFR039C	0.233407972	YLR093C	0.291121903
YDR229W	0.233225667	YIR011C	0.290517808
YGL018C	0.233125992	YBR052C	0.289806852
YPR144C	0.233015644	YFR008W	0.289209867
YDR470C	0.232736957	YGR078C	0.288685182
YBR187W	0.232268458	YMR021C	0.288529331
YMR251W	0.231821796	YDR047W	0.287510588
YBR288C	0.231654017	YGL253W	0.287480359
YEL048C	0.230155959	YMR284W	0.287460233
