Threshold +/-1.5 for log2(TE change) was used in the manuscript. Refer to the fig. S2b if you like to select a different threshold.
gene_name 5 min	5 min log2(TE change)	gene_name 30 min	30 min log2(TE change)
YCL012C	0.882728403	YCL057C-A	1.135993908
YDR313C	0.881937141	YPR006C	1.132855462
YDL069C	0.878185035	YBR244W	1.130195112
YDR197W	0.878038804	YLR297W	1.129906388
YAL055W	0.870183401	YPL024W	1.128371836
YMR187C	0.869357415	YER180C-A	1.128337843
YDR066C	0.868996722	YGR127W	1.125809912
YJL004C	0.867681222	YIL014C-A	1.124742311
YDL043C	0.866878751	YNL230C	1.115691972
YOR045W	0.861271547	YML131W	1.115445713
YFL031W	0.860404025	YGL057C	1.106557905
YKL130C	0.85998204	YDL120W	1.105238271
YNL245C	0.856018616	YDR478W	1.099212051
YNL119W	0.855678106	YML068W	1.09906815
YOL110W	0.855450031	YKR066C	1.098620107
YLR185W	0.855387779	YNL260C	1.09634988
YNR024W	0.855204237	YDR541C	1.096097863
YBR171W	0.851659612	YPR085C	1.095679788
YMR011W	0.849772644	YKR061W	1.095262214
YKL096W-A	0.849318379	YOR043W	1.095251374
YBR233W-A	0.848202638	YJR010C-A	1.095247988
YOR305W	0.846638009	YJR067C	1.089873682
YPR009W	0.842287945	YDR339C	1.088329267
YDR363W-A	0.836615348	YBR163W	1.086981103
YLR038C	0.835472446	YGR021W	1.086894155
YGL090W	0.835452076	YOL113W	1.080983258
YBR253W	0.833169356	YGR035C	1.079110071
YGR050C	0.832948245	YPL229W	1.078991483
YNL110C	0.832731943	YOL009C	1.075440068
YLR145W	0.83235792	YOR052C	1.073123935
YIR030C	0.831917105	YMR233W	1.073078194
YOR078W	0.830977419	YDR533C	1.070653728
YKL096W	0.830921564	YMR174C	1.068746019
YNR074C	0.830320838	YOR060C	1.066107558
YGR169C-A	0.829621123	YOR148C	1.062611328
YBR242W	0.828728874	YOR297C	1.061525379
YHR067W	0.827539393	YAL059W	1.056987506
YML068W	0.82744831	YGR057C	1.05695926
YPR167C	0.822409536	YBR262C	1.055664095
YER146W	0.821171811	YKR075C	1.055549146
YOR306C	0.816709522	YJR008W	1.053868495
YJL023C	0.816198817	YEL068C	1.053500511
YJL048C	0.815564182	YDR336W	1.053241843
YDR078C	0.815097822	YLR108C	1.049863306
YDL085C-A	0.812175714	YMR126C	1.041269006
YDR478W	0.811867399	YPR094W	1.038670246
YML131W	0.811501389	YDL033C	1.037642331
YLR363C	0.810355341	YMR177W	1.036620084
YGR081C	0.808580174	YIR005W	1.030553584
YGR239C	0.806843416	YPR166C	1.028139351
YER002W	0.805997063	YDR482C	1.026417811
YKL137W	0.805910007	YAR028W	1.025057187
YML009C	0.804745951	YGR043C	1.01525004
YBR085C-A	0.803699898	YDR322C-A	1.00806743
YLR218C	0.802568649	YBR005W	1.006063989
YGR008C	0.799701691	YGR081C	1.003864565
YJL006C	0.79649185	YMR187C	1.003749496
YKR074W	0.790721334	YIL130W	1.00275256
YBL028C	0.789407405	YMR256C	1.002063944
YMR260C	0.786888195	YLR119W	0.991682395
YDR377W	0.78649874	YHR001W-A	0.99091864
YDL030W	0.785767906	YDR078C	0.983574873
YDR210W	0.783581327	YHR176W	0.981997233
YDL121C	0.781124385	YDR377W	0.978216717
YDR083W	0.779938937	YPL149W	0.976976394
YCL002C	0.779679187	YLR408C	0.968820101
YIL040W	0.778893078	YHR167W	0.967264872
YLR297W	0.778139336	YDR363W-A	0.963829496
YMR028W	0.777877663	YOL151W	0.963387367
YDR174W	0.777279377	YGR222W	0.959523565
YKR061W	0.772781236	YCL005W-A	0.958713523
YDR079C-A	0.771994547	YLR038C	0.958571944
YLL033W	0.771907854	YOR077W	0.958470784
YDL129W	0.768964862	YER093C-A	0.957754718
YJR057W	0.765841741	YPL095C	0.957356711
YDR465C	0.762525908	YLR099W-A	0.956849874
YDR067C	0.761477285	YJR022W	0.951837582
YBR230W-A	0.759785308	YPL202C	0.949711459
YPL225W	0.757627107	YBR168W	0.94875294
YGR280C	0.756232517	YNL086W	0.94658125
YER126C	0.754685289	YHR191C	0.945805953
YMR255W	0.751285151	YKL130C	0.943291945
YML091C	0.750730248	YDR513W	0.940733062
YBR167C	0.747023959	YDL160C-A	0.940694788
YBR111W-A	0.744131276	YJR100C	0.940155134
YPR067W	0.741565164	YOL048C	0.94010335
YML058W-A	0.741088968	YIL007C	0.939855558
YPR052C	0.736753345	YDR275W	0.939598283
YIR021W	0.73547211	YDL043C	0.938895811
YGR161W-C	0.732738349	YJR094W-A	0.935400007
YCL057C-A	0.73201856	YPL170W	0.932690041
YOL128C	0.730420167	YDL166C	0.932440374
YOL124C	0.727218985	YJL208C	0.932146823
YJL151C	0.726686634	YKL186C	0.928737862
YJL208C	0.726197431	YBR012C	0.928650524
YOR167C	0.725434964	YGR102C	0.926781308
YIL096C	0.724499717	YKR004C	0.926645949
YBR244W	0.724407661	YDL044C	0.925876772
YDL120W	0.724130268	YBL107C	0.922601037
YNL135C	0.722150458	YDR288W	0.918740886
YER156C	0.721851127	YGL090W	0.918179638
YGL154C	0.719289384	YJR057W	0.916399922
YGL174W	0.718849468	YDL157C	0.913104384
YKR055W	0.71853558	YDR370C	0.912782165
YCR028C-A	0.718462732	YIL139C	0.911914985
YGR222W	0.716760576	YOL005C	0.909196113
YCL055W	0.715568277	YLR022C	0.90784112
YDR305C	0.713905901	YIL040W	0.907511617
YPL149W	0.713289614	YPR167C	0.9072936
YBR141C	0.713170407	YKR074W	0.90400468
YPR085C	0.712649959	YDR183W	0.899487229
YBR091C	0.711463178	YBR228W	0.897786861
YGL226C-A	0.710713181	YGL204C	0.897494681
YNL112W	0.70986125	YMR077C	0.893465495
YGL243W	0.708183867	YLR315W	0.893301075
YKL099C	0.707888431	YKL061W	0.893145972
YHR148W	0.707717759	YNR074C	0.890737881
YOR130C	0.707017583	YGR050C	0.887536119
YPR006C	0.70608419	YHR134W	0.887119904
YOR287C	0.704602595	YDR374W-A	0.883009865
YPR082C	0.704023318	YLR262C-A	0.880808356
YGR021W	0.703429437	YDL081C	0.874672384
YLR119W	0.700940285	YNL211C	0.872037143
YGR030C	0.700175928	YKR055W	0.871444325
YBR005W	0.69929299	YGL068W	0.871380167
YAR028W	0.69833276	YGL155W	0.869949026
YFL027C	0.696748165	YLR107W	0.863969854
YNR007C	0.695797895	YKR098C	0.861911211
