# Lee et al. "A dynamic model of proteome changes reveals new roles for transcript alteration in yeast" Molecular Systems Biology 7:514 (2011).
#Protein	Metrics	NA	NA	Quantitation	NA	NA	NA	NA	NA	NA	NA
#Protein	Probability Score	PSMs	Unique Peptides	"TMT-130 Intensity
#0 min"	"TMT-126 Intensity
#30 min"	"TMT-127 Intensity
#60 min"	"TMT-128 Intensity
#90 min"	"TMT-129 Intensity
#120 min"	"TMT-131 Intensity
#240 min"	Quantified PSMs	Quantified Unique Peptides
orf	probability.score	psms	unique.peptides	tmt.130.intensity.nacl.0min	tmt.126.intensity.nacl.30min	tmt.127.intensity.nacl.60min	tmt.128.intensity.nacl.90min	tmt.129.intensity.nacl.120min	tmt.131.intensity.nacl.240min	quantified.psms	quantified.unique.peptides
YDL223C	0	107	37	16548294.31	27509241.59	42855064.28	41598395.65	39197749.76	29525680.22	33	17
YGR116W	0	114	27	25726083.61	25636799.89	26959983.1	26626588.17	26714800.59	26189529.04	35	16
YLL045C	0	629	29	99395620.29	96817128.36	94232635.09	93968126.68	90226667.72	93719660.04	85	6
YLR175W	0	156	25	115372122.7	108579351.8	103664948	104774346.6	102363113.5	100005477.6	96	20
YLR342W	0	238	45	34062432.57	31437920.85	34702369.48	38017314.91	36655382.29	34619657.21	76	13
YLR044C	0	4491	46	1792970399	1750913403	1678046206	1765494585	1802149340	2032218860	2440	49
YIL078W	0	248	45	156933105	154309705.6	154455018.3	158366460	158476541.5	153739444.5	128	32
YGL206C	0	355	64	96044122.09	97548969.62	108185525.7	108708205.1	109497194	109578396.7	152	44
YKL081W	0	641	28	389524387.3	374412640.7	372145634.2	378177824.1	377991145.9	379099684.1	389	24
YJR070C	0	188	22	80976751.35	76219578.57	73470080.31	72889156.77	70856724.62	73084912.45	106	14
YBL076C	0	663	73	363511852.1	339047727.3	359041739.7	369395187.7	371227831.9	366181179.2	333	63
YDL066W	0	192	25	88964011.93	86295526.13	87767908.01	91260204.13	97068265.36	105538248.8	102	16
YIL053W	0	763	24	165220452.6	199911127.4	198515173.4	200678539.5	203362876.1	246213067.7	349	18
YGR094W	0	525	49	245853549.3	233022002.1	232761602.7	236697154.8	240501240.2	248391012.2	250	42
YGL207W	0	132	28	67487216.29	69671905.5	74613629.1	73989315.3	73154816.75	69759893.21	59	20
YPR181C	0	154	25	58584038.65	55109449.21	57886654.95	59783514.41	60152856.94	58678419.16	70	16
YKL212W	0	123	26	28510910.5	27812837.35	28797150.36	29329296.51	28712525.11	28139649.21	44	15
YOR374W	0	242	26	82170797.32	147350542.8	163618945.4	157480252.4	163116201.4	164174290.4	125	20
YJR109C	0	264	41	89887252.19	85432049.19	102648974.9	114803619.4	127143083.1	160766796.8	102	25
YPR010C	0	153	27	35878567.16	35729335.57	34169496.53	32221968.61	32050774.85	31958722.7	58	19
YAL038W	0	4545	54	1415388707	1407330890	1365965436	1390994492	1380558533	1441170331	2334	68
YJL080C	0	517	77	296521326	292569559.5	285286069.3	294647189.9	293087527.8	295119854.7	260	63
YBR025C	0	293	27	234412539.3	238467578.5	228755404.9	228811663.1	228216111.6	238397769.2	172	25
YOR198C	0	288	39	158974156.2	160064763.3	165251836.2	171116560.7	173232613.1	168586463.7	154	31
YML008C	0	211	21	122728597.9	125752814.5	119783669.1	117638605.7	113774124.3	107430556.3	115	20
YLR249W	0	2719	82	927355947.7	850186188.7	802389212	827739940.2	823128577.3	867782480.9	1297	77
YDR341C	0	312	43	147001694.9	142804755.2	146757300.7	148987497.1	153427310.9	153014175.9	152	33
YDR158W	0	289	25	159326657.4	160943933.5	166805337	175059779.7	188813360.3	223064141	175	20
YPL048W	0	196	27	73160809.14	73826203.7	77205771.14	79940383.7	83867308.23	88372580.29	85	19
YMR012W	0	251	54	96642023.93	91561561.38	97838615.02	97257377.91	99084956.57	98041772.52	102	40
YBR079C	0	360	56	185436782.2	192797600.4	188135160	185058651.4	183829312.5	178212162.9	167	47
YER177W	0	283	22	41025416.18	45879599.65	47877703.93	46982482.53	48474038.3	46654741.57	34	6
YCL040W	0	249	23	58498339.1	78965680.21	106842162.9	107260084.2	112538810.9	109131936.4	91	18
YCR053W	0	380	31	173340514.8	165141766.3	177778670.1	178450074.7	178204163.5	174748156.2	215	29
YGR285C	0	313	31	151138692.8	149068408.8	144021745.2	140356134.8	136569607.6	132441255.6	161	25
YOL109W	0	282	25	287610700.6	295276791.7	276434527.6	269823875.1	263317290.8	242055353.4	203	21
YPL160W	0	584	61	323598167.9	321467914.2	326900514.3	331988922.2	337102700.2	348349215	301	52
YPL237W	0	153	26	50031691.71	47079623.42	50995189.37	51552470.85	50796566.27	51044505.14	75	21
YJL008C	0	140	24	60588722.37	61104587.22	61507136.71	59009248.42	56524431.79	53550267.55	68	18
YLL018C	0	402	45	186707543.8	195234219.4	198422289.8	206037025.7	208374365.5	217799745.9	220	37
YGR264C	0	230	36	118428268.1	118654948.2	117683508.9	113882986.9	111314167.7	106324096.9	102	30
YPR033C	0	134	30	83799920.84	80784587.37	79351146.81	79118842.31	75192467.44	71884259.38	68	22
YDR040C	0	94	26	1192450.307	2185993.343	2781532.709	3252353.888	3884889.859	4912095.846	5	3
YJR145C	0	1298	25	395871546.8	385946463.1	353363657.3	351242201	347902689.1	367274793.1	692	28
YGR204W	0	388	48	160432173.8	160270958.1	154052507.3	153502966	149732250.4	144895399.3	194	40
YOR326W	0	87	29	26307020.8	25802868.13	27190449.64	28452030.5	28489007.89	26941784.44	22	13
YOR007C	0	160	22	77036472.63	78388436.61	74645750.71	75768624.06	72860826.39	66134761.26	86	18
YLR259C	0	353	42	291090455.4	291493719.2	273895074.7	275627778.9	272413867.1	261632301.8	196	33
YFR009W	0	145	23	38994995.45	41736806.91	40796467.24	39748906.78	41040832.24	38436258.29	66	20
YBR115C	0	91	29	24469033.82	24625259.56	27134991.08	28463593.01	30013504.97	31803566.96	38	17
YAL035W	0	163	38	125289110.6	126352862.8	126888547.5	122591732.8	119610154.6	114357989.5	79	27
YMR169C	0	223	26	5850089.306	23117821.25	41688079.81	37748943.57	33148347.03	26901771.24	37	9
YGL008C	0	1625	44	536375066.4	516290388.3	470775701.9	485386039.8	500191428.4	544201981.6	835	56
YHR179W	0	346	28	143446041.5	143983022.7	137891691.3	136497551.1	130030460.5	118052970.1	206	22
YDR502C	0	222	26	24343153.08	24698810.94	24285935.69	22197889.11	21982899.37	20998844.71	47	13
YGL253W	0	1033	35	402598058.7	402242460	399214918.5	413964593.2	408789363.9	391415295.5	567	48
YFR053C	0	268	29	27240433.3	47557166.76	72692135.29	85615028.07	100972394.9	114352234.2	131	26
YDR023W	0	383	34	181018036.8	179812734.1	179342371.6	182983596.5	183205699.1	180757485.3	223	26
YLL026W	0	283	51	121139072.3	180728402.7	209727507.9	198633669.7	189869233.6	173672927.4	126	36
YOR133W	0	3014	68	1494689628	1430705551	1420201928	1436700025	1419866516	1462471106	1571	68
YOR361C	0	139	27	55971188.5	53624994.93	54373753.7	55230548.43	52615525.65	51923419.26	51	17
YDR172W	0	179	24	91884695.22	91812441.02	92160605.54	95557101.32	95326625.48	95269972.23	78	24
YLR448W	0	316	23	157474890.6	149137617.8	148856375	144312502.8	148153180.8	143416076.4	85	9
YDL195W	0	155	32	88258557.02	86573559.98	93674645.96	97749599.87	96337751.75	94228506.84	76	24
YGL245W	0	526	53	358834948.1	371918502.8	367511020	366201419.1	365477573.8	359251559	300	46
YGR124W	0	334	31	78552115.05	80238411.46	82753602.69	84107236.27	83751785.94	85778105.44	145	23
