# Lee et al. "A dynamic model of proteome changes reveals new roles for transcript alteration in yeast" Molecular Systems Biology 7:514 (2011).
#Protein	Metrics	NA	NA	Quantitation	NA	NA	NA	NA	NA	NA	NA
#Protein	Probability Score	PSMs	Unique Peptides	"TMT-130 Intensity
#0 min"	"TMT-126 Intensity
#30 min"	"TMT-127 Intensity
#60 min"	"TMT-128 Intensity
#90 min"	"TMT-129 Intensity
#120 min"	"TMT-131 Intensity
#240 min"	Quantified PSMs	Quantified Unique Peptides
orf	probability.score	psms	unique.peptides	tmt.130.intensity.nacl.0min	tmt.126.intensity.nacl.30min	tmt.127.intensity.nacl.60min	tmt.128.intensity.nacl.90min	tmt.129.intensity.nacl.120min	tmt.131.intensity.nacl.240min	quantified.psms	quantified.unique.peptides
YLR432W	0	205	24	38333397.12	39975826.84	36715566.94	37183250	37264329.28	42554990.15	46	10
YKL210W	0	301	45	74376337.25	71035772.92	77154285.89	86728982.32	88479404.97	80751514.65	107	35
YGL206C	0	148	52	32199088.14	29431234.69	32107762.31	34550976.08	34452049.02	33129643.31	44	25
YDL066W	0	163	24	36496544.54	33286474.44	31025769.84	33534490.82	34619486.63	38696038.17	56	14
YER006W	0	85	29	22303637.76	20903830.64	20318122.97	19357384.66	18001962.72	16407485.37	33	16
YKL152C	0	782	32	421425687.9	444893706	437276037.6	458250938.8	470388589	441276606.7	471	34
YMR186W	0	770	61	83144894.91	91668879.65	92328164.57	87670337.43	87251308.26	75256135.53	98	13
YHR183W	0	213	39	87030644.44	79688078.07	81329749.76	80485506.34	79104408.2	69999503.95	81	20
YLL024C	0	1724	63	59929494.64	67628050.81	59203929.27	59980938.22	55984665.25	54850244.88	198	19
YER165W	0	355	48	181502581.2	176966824	170657588.2	169199850.5	166136845.7	166037926.7	207	51
YBR196C	0	495	28	156768861.4	165031917.6	162658311.8	155427227.1	157431326.2	172683018.4	272	31
YGR285C	0	239	33	95810447.6	98104442.4	92003740.01	89593651.37	86000150.87	87003439.64	114	24
YGR234W	0	243	22	33580957.14	32866662.3	29708354.14	27929174.84	26829160.12	22550816.05	111	18
YHR042W	0	78	24	20769438.07	19993432.31	19532493.34	19886148.83	19212800.75	19218994.14	36	14
YKR059W	0	392	29	136408407.4	129873066.5	123378529.6	121380621.7	117907496.2	108085496.3	173	31
YMR169C	0	174	27	4417390.212	7881679.88	24436757.2	27559835.5	25213075.12	19259622.33	33	10
YOR168W	0	197	43	97336322.4	103352174.9	100251964.8	100522710.9	97690144.15	107849267	101	31
YLL026W	0	227	47	55070651.55	73946708.17	104144773.5	108567436.9	101319875.1	96872387.34	86	36
YDL182W	0	165	30	7500436.065	8199912.615	8486038.361	9131245.636	8992563.961	9802376.895	28	11
YGL173C	0	105	35	23557333.54	23660055.38	24852816.54	26308302.32	24750010.78	24373595.67	36	19
YLR058C	0	212	29	94292218.3	91616632.51	86542442.74	86036471.83	80226328.95	68597557.62	107	28
YCR053W	0	167	28	40207309.52	40348011.55	43112854.82	45695647.65	46162351.64	49129269.04	78	19
YOR133W	0	1835	63	610806015.2	568916208.2	572328828.5	574478610.7	575679669.9	552802621.7	818	64
YOR027W	0	222	47	81377636.71	92975079.93	93745223.85	88417602.69	83745459.2	79672566.03	102	40
YGR264C	0	99	28	48676246.95	49121852.62	49145117.53	48567862.38	45915696.6	45186671.33	50	21
YMR217W	0	244	36	96095732.97	100023034.2	89803752.71	83464781.43	79254754.24	79079837.08	108	27
YGL234W	0	167	35	50210713.6	46608711.88	46688460.33	47308304.66	44050660.24	39858421.59	68	27
YPL061W	0	959	41	266438887.5	297376162.3	334050051.3	316891475	302295127.9	276716427.7	460	43
YEL031W	0	96	32	35215888.88	35454490.6	35912907.25	35739920.47	35261666.28	37698722.4	41	21
YOR096W	0	528	27	94878663.27	92022289.45	83458034.07	75764924.43	76509706.34	67410924.24	122	12
YBL076C	0	383	72	113807106.2	95319021.33	104420209.8	108620518.3	109835800.3	90930989.22	154	48
YJL052W	0	1156	26	6067176.355	7140044.847	7806890.558	9881522.392	14077631.33	30932993.98	16	11
YOR317W	0	91	26	16896749.79	18640803.11	23697717.57	28038332.11	31199102.7	38979917.64	30	15
YHR064C	0	345	34	104114622.2	98084465.68	95134876.77	95603222.2	93324729.04	87148771.75	181	27
YJR009C	0	2922	42	15715762.37	16102691.38	15130657.45	15328730.57	16268259.17	15652706.67	82	10
YGR204W	0	195	43	38749798.69	37530918.64	37026232.55	37503572.99	37125340.79	34274121.78	74	27
YPR080W	0	2571	46	523288969.4	481866727.6	462859910.9	456747214.5	454368585	439607770.6	1588	51
YJR016C	0	157	28	67489482.45	68622384.36	65921053.32	64700926.19	63119726.17	66912880.87	84	29
YHR208W	0	241	28	100930323.7	95759009.73	95092110.31	103475947.7	102067477.2	100864930	107	18
YCR012W	0	3202	57	992051626.8	1013659956	966117565.7	985078351	1000479856	962924546.5	1516	52
YPL090C	0	413	27	166555170.9	168471341.1	156741223	155449807.4	150993726.8	160922021.3	198	25
YGR094W	0	329	56	111046601.3	105479020	108927401.7	110775275.7	109992146.6	104051898.7	146	39
YBL005W-B	0	135	41	6446419.214	7052153.825	6858611.791	6093857.231	6880330.785	5654064.495	6	5
YOL086C	0	2608	33	781859947.1	688199606.7	691745677.5	737541224.2	765025914.5	611396501	1229	26
YOR153W	0	120	34	47464835.83	44243898.66	47055068.02	48176213.26	47056346.57	46457967.23	44	21
YJL008C	0	89	27	27858597.31	26492963.98	27428240.06	27486790.96	26286671.52	23911480.56	26	15
YCL030C	0	178	44	44233891.55	45145866.29	44439780.95	51367503	51760994.89	53856707.92	88	36
YER091C	0	478	60	189772108.6	182561838.6	168966469.5	178753245	172998343.9	144919397.4	211	48
YMR120C	0	188	39	40757854.61	39534546.03	37919383.01	37196205.4	36084301.05	30453256.4	69	24
YPR033C	0	97	27	25000685.67	25751627.31	22372998.26	21672603.9	20371532.32	22390869.48	51	18
YMR229C	0	168	59	65724964.82	61397517.29	59178236.82	57714839.46	54442891.28	53518119.98	73	40
YLR106C	0	52	30	11806413.11	10577191.77	10711324.36	10390244.55	9864197.886	10023958.33	12	10
YDL171C	0	172	63	48524897.19	47598787.53	45780168.53	43850498.36	41970376.55	48982580.58	71	37
YDL126C	0	329	57	108169278.4	109057329.6	119203393.1	124525470.2	126572893.1	119673862.1	158	45
YKL081W	0	432	33	194105791.7	179106692	183875154.3	182643412.8	186432006.7	156201860.9	231	27
YDL223C	0	59	27	7657821.206	9610548.883	19161600.96	22663313.61	22220940.45	18512638.82	18	11
YKL104C	0	87	25	24048038.82	22229768.76	24574430.93	25918259.15	26697754.06	24141931.44	36	12
YDL145C	0	78	25	31676391.41	31127668.73	31109128.95	31897507.61	32382667.07	33463632.54	37	17
YBL024W	0	107	28	30946844.98	31500846.44	29930990.73	30682058.29	28993881.53	29677878.91	56	18
