# Lee et al. "A dynamic model of proteome changes reveals new roles for transcript alteration in yeast" Molecular Systems Biology 7:514 (2011).
#Protein	Metrics	NA	NA	Quantitation	NA	NA	NA	NA	NA	NA	NA
#Protein	Probability Score	PSMs	Unique Peptides	"TMT-130 Intensity
#0 min"	"TMT-126 Intensity
#30 min"	"TMT-127 Intensity
#60 min"	"TMT-128 Intensity
#90 min"	"TMT-129 Intensity
#120 min"	"TMT-131 Intensity
#240 min"	Quantified PSMs	Quantified Unique Peptides
orf	probability.score	psms	unique.peptides	tmt.130.intensity.nacl.0min	tmt.126.intensity.nacl.30min	tmt.127.intensity.nacl.60min	tmt.128.intensity.nacl.90min	tmt.129.intensity.nacl.120min	tmt.131.intensity.nacl.240min	quantified.psms	quantified.unique.peptides
YMR012W	0	104	35	19657224.14	19574780.28	20459362.72	20949440.78	20961347.37	20532098.72	25	15
YKL182W	0	364	70	128577017.8	121198760.3	113909174.3	117328180.4	118791980.3	111342879.3	148	51
YGR124W	0	230	29	19296242.38	19934691.17	20004278.39	19726915.26	19458397.31	20179611.27	70	20
YER025W	0	97	26	20293387.46	19769735.72	20805617.28	20340458	20921347.21	20480525.16	43	16
YOR335C	0	199	42	77764317.8	79724810.62	78751853.1	79286917.08	79522294.88	80403415.09	90	30
YKL060C	0	2976	25	494960301.4	488757718.5	434173394.2	399801200.1	383123569.2	410837965.5	1479	32
YOR063W	0	877	31	217466220.8	198595814.8	178352921.9	161687819.6	155845088.8	168837471.9	298	30
YER043C	0	247	31	128430650.9	130016090.2	126828039.9	132615412.5	136556167.8	134061684.7	116	27
YMR217W	0	221	28	50890724.66	48113344.51	45253540.26	45398031.68	44387713.55	43897475.31	106	25
YHR174W	0	4915	47	725568380.2	733583987.2	576564942.7	515630890.4	467155340.1	475695312.4	1268	33
YPR080W	0	3189	37	646040089.5	599068608.9	531452681.7	502083051.5	487908621.5	529278510.1	1901	45
YDR502C	0	119	25	7601144.854	7872463.111	7557422.372	7052725.115	7327536.048	6750410.443	20	8
YGR155W	0	237	39	94893742	98367879.21	96725429.19	98650669.02	100778188.4	102616322.2	105	31
YIL078W	0	113	28	60631009.76	62019226.73	60727492.97	61824849.12	62842320.52	65473814.43	52	21
YFR053C	0	255	26	11112240.96	14275708.7	26307148.59	34119667.98	38664240.65	41736997.64	95	26
YGR240C	0	302	44	123482934.3	117044352.5	117088445.1	126324698.1	129367943.9	123217969.5	144	38
YHR064C	0	326	25	67877692.65	63654015.83	62425019.94	62902088.39	63423631.88	61757319.34	122	20
YEL071W	0	97	27	31838397.26	30869854.36	30213234.49	29435959.44	30272987.8	30929175.3	41	14
YLL026W	0	172	40	42725285.26	53384342.98	68070285.79	69359591.19	67818726.65	63391854.46	81	31
YGL234W	0	98	27	18597974.31	16428580.14	16251046.07	17577180.29	17366364.82	16225687.4	38	15
YKL081W	0	429	26	89105008.81	86922599.41	82511883.37	84446751.45	83237517.18	83831808.36	142	17
YMR120C	0	120	27	9927166.025	10676873.33	11393184.24	10717693.52	10200390.28	9774546.17	23	12
YDL182W	0	139	26	7192856.599	7421388.293	7334342.294	7685030.242	7444771.173	9864115.662	16	6
YJL080C	0	216	68	78121973.07	81449454.37	81125488.15	81982472.17	83864262.47	83558112.77	91	42
YJR109C	0	90	31	25163342.28	25052917.3	25512321.39	29413038.56	30867496.17	45402387.18	33	17
YOR027W	0	228	40	85178830.05	86654422.42	89174850.76	88208875.96	84726751.2	78045839.41	109	35
YHL033C	0	511	30	27735862.34	24249087.97	22873295.42	20864215.37	19851079.02	21746472.02	54	4
YDR037W	0	358	36	55260290.93	54318487.7	55465957.2	56248083.5	56162349.71	59877540.27	157	25
YER091C	0	308	43	127414904.6	128005146.5	121239538.8	128473819	125474441.4	110337597.5	164	39
YPL106C	0	445	49	135522490.3	135247147.6	132988259.9	130399583.4	127938776.3	114912037.5	171	34
YDL185W	0	325	57	121382483.4	120134689.9	122750967.2	125107331.3	128110751.6	129628382.4	164	43
YKL210W	0	113	29	38904364.71	39960553.77	39854725.13	43755743.04	43357439.84	42149623.98	39	20
YNL178W	0	492	29	177176834.4	168393214.1	161074196.7	171422514.1	175098164.4	173623283.3	178	24
YDR023W	0	193	29	52621406.16	51615821.53	51582688.65	53127279.56	53465654.7	53128489.34	96	22
YGL253W	0	571	37	116470855.6	117521588.5	114119916.8	112814028	114433907.2	108113941.3	234	41
YPL231W	0	416	81	179245761.9	176256280.9	174571449	177523348.1	181038628.9	166229572.2	203	59
YCR053W	0	165	29	34391738.83	37441713.13	41806223.42	44191294.2	43948956.48	44469521.97	61	20
YPL226W	0	123	32	20859638.69	21280962.68	21295425.06	22064820.72	22597968.06	23344803.91	66	19
YGR061C	0	133	30	41941072.43	42004644.46	40820648.77	41645368.49	41536951.28	38719547.36	54	22
YDL171C	0	82	33	14767993.12	14091164.88	13755812.38	14147604.61	15134868.48	17541473.68	25	14
YHR179W	0	267	28	50795703.28	51292694.21	51390107.12	50012473.94	48338056.96	43677932.7	129	21
YLR153C	0	79	27	5517147.096	5860319.741	6550414.26	6271433.578	6058202.738	7319002.705	16	10
YBL076C	0	247	49	68356177.26	67135915.65	63672749.37	69139099.74	71945629	70129351.93	122	31
YNR016C	0	228	64	93203269.45	88885076.65	88953609.3	87067844.49	84123822.57	74720464.67	106	36
YOR204W	0	118	23	46264905.06	47425114.79	48479863.15	47446475.29	48135503.64	51721061.65	50	16
YAL038W	0	2629	50	658942113.3	628658189.7	582564107.5	590370489.3	594293606.7	571460478.5	1451	58
YBR079C	0	123	40	43648759.42	43653686.01	45598765.43	43923841.09	45498100.43	46505120.78	46	23
YER110C	0	133	35	45060198.67	40518995.51	39361828.61	40329422.74	40281974.99	39411444.08	57	26
YJR045C	0	498	51	168273989.6	167755324.9	165144859.5	162561954.9	159443021.7	157740112.2	179	45
YJL034W	0	248	39	75428801.17	74661859.01	73510309.08	73351644.02	72048419.42	64175305.38	123	30
YER177W	0	194	22	18118955.6	20273264.69	22781633.03	25533443.13	25726435.87	24838922.37	18	6
YJR145C	0	907	25	156008580	156749973.3	148123892.3	143824518.6	141692271.9	149162982.5	408	24
YLR355C	0	408	32	200827767.4	182241480.2	181341624.4	192783068.1	191999054.2	183049840.4	192	27
YDR127W	0	94	35	22820235.11	21879359.37	23078447.59	25863275.93	28017249.62	33378824.47	34	18
YLR441C	0	633	30	63361115.63	58032035.71	58183030.97	59274093.43	58900339.96	59421933.64	38	6
YCL030C	0	148	30	26167707.82	25233472.37	27201332.48	28350477.27	28674135.81	31018074.41	58	21
YGR204W	0	203	38	40176300.5	37946907.81	38181186.24	40068984.17	40477379.39	38304663.32	66	28
YLR354C	0	146	30	95428922.58	92911042.73	89192830.94	91158097.97	92356996.46	90650781.02	84	26
YLR342W	0	80	24	9767134.449	9233637.458	9252275.389	9804474.171	10607895.23	9390100.628	21	9
