orf sd.mrna sd.prot mean.mrna mean.prot
Q0045 0.332582285951918 0.37089486716423 -2.27072709991124 -1.8666574492699
Q0050 0.41401643807741 0.479658852182182 -2.79288494490314 -2.53064734877899
Q0055 0.462453019339613 0.533241265133098 -3.11003120966977 -2.61225728972294
Q0060 0.442940980184303 0.541136157923515 -3.09296292890952 -2.85507925012347
Q0065 0.393951521494559 0.527649141183457 -3.09646552812088 -2.89806090040516
Q0070 0.47196331678386 0.610168601840629 -3.44566789821753 -3.26520320749121
Q0075 0.404463107198205 0.47407309919201 -3.04790557071094 -2.91357079390149
Q0080 0.392853799715162 0.464490494661724 -2.65648386821463 -2.464663466526
Q0085 0.325175490930517 0.450971288563174 -2.32301903106646 -1.89819953766161
Q0105 0.360454167400146 0.466788969130298 -2.40363390913305 -2.11054727755914
Q0110 0.519107950845934 0.594463846356962 -3.50207274538703 -3.41353620704273
Q0115 0.439896880554308 0.580606123005526 -3.35165894588686 -3.10713814874992
Q0120 0.471951969492644 0.53954761274761 -3.09281553319199 -2.80849472541797
Q0130 0.37177243462876 0.393921960810092 -1.78855824912786 -1.48093614599611
Q0140 0.428322663041103 0.470018029595938 -2.86346930932597 -2.13690812227119
Q0160 0.45662567067459 0.493110464157398 -3.01243043457804 -2.82167634998859
Q0250 0.386394371460022 0.491956314054785 -2.47062480745835 -2.05794156792371
Q0255 0.427177629006789 0.571001739236331 -3.26871163180591 -3.10675671121161
Q0275 0.40046602866494 0.484175845942501 -2.54136568152768 -2.1712469723518
R0010W 0.382834117233207 0.434630979201895 -2.41664460181781 -2.36014023571534
R0020C 0.375420225515003 0.441773084936574 -1.41039873498796 -1.19350280106553
R0030W 0.380554454940599 0.396323781766337 -1.601692127459 -1.32227047835989
R0040C 0.365926088256021 0.466099664638307 -1.62330977529352 -1.15962516385534
YAL001C 0.260571352732066 0.325291928095936 -0.387236099427277 -0.547191465756341
YAL002W 0.244425082165538 0.275092089837782 -0.586766705280693 -0.455038608940626
YAL003W 0.263775615665008 0.338055757191586 2.40371685425066 2.14078268813012
YAL005C 0.229211177593479 0.213841508781883 2.43310620253931 2.86628455754733
YAL007C 0.253457589991483 0.222414985459811 0.917296026408479 1.16176742166001
YAL008W 0.24374616419939 0.279487938718623 0.23348856025392 0.27019332329766
YAL009W 0.268593349350299 0.316661823592413 -0.272906204013399 -0.368472355510655
YAL010C 0.276308770969553 0.322440107283163 -0.65314097701802 -0.4986013281807
YAL011W 0.273865406009359 0.307023719789696 -0.32853235219884 -0.219616384978112
YAL012W 0.236348604539372 0.229791408432623 1.99902682300716 1.89216722462074
YAL013W 0.256330813904484 0.355648294435319 0.0668688229955486 -0.0746266612930296
YAL014C 0.235364196108952 0.322711553214214 0.25897431352046 -0.0988309721790586
